geo_id,state_abbrev,year,income_real,housing_hpi,healthcare_pc,childcare_annual,income_index,housing_index,healthcare_index,childcare_index,cost_pressure_index,affordability_gap_index
8,CO,2003,52000,100,3800,7800,100.0,100.0,100.0,100.0,100.0,0.0
8,CO,2004,53000,108,4000,8050,101.9,108.0,105.3,103.2,105.5,3.6
8,CO,2005,54500,118,4240,8400,104.8,118.0,111.6,107.7,112.4,7.6
8,CO,2006,56000,128,4520,8800,107.7,128.0,118.9,112.8,119.9,12.2
8,CO,2007,57500,134,4800,9200,110.6,134.0,126.3,117.9,126.1,15.5
8,CO,2008,57000,132,5100,9600,109.6,132.0,134.2,123.1,129.8,20.2
8,CO,2009,56000,124,5350,9800,107.7,124.0,140.8,125.6,130.1,22.4
8,CO,2010,56500,120,5550,10050,108.7,120.0,146.1,128.8,131.6,22.9
8,CO,2011,57500,118,5800,10300,110.6,118.0,152.6,132.1,134.2,23.6
8,CO,2012,59000,121,6050,10600,113.5,121.0,159.2,135.9,138.7,25.3
8,CO,2013,60500,128,6320,10950,116.3,128.0,166.3,140.4,144.9,28.6
8,CO,2014,62000,138,6600,11350,119.2,138.0,173.7,145.5,152.4,33.2
8,CO,2015,64000,149,6900,11800,123.1,149.0,181.6,151.3,160.6,37.5
8,CO,2016,65500,160,7200,12250,126.0,160.0,189.5,157.1,168.9,42.9
8,CO,2017,67000,172,7520,12700,128.8,172.0,197.9,162.8,177.6,48.8
8,CO,2018,69000,184,7850,13200,132.7,184.0,206.6,169.2,186.6,53.9
8,CO,2019,71000,195,8180,13750,136.5,195.0,215.3,176.3,195.5,59.0
8,CO,2020,72500,205,8520,14250,139.4,205.0,224.2,182.7,204.0,64.6
8,CO,2021,76000,232,9050,15100,146.2,232.0,238.2,193.6,221.3,75.1
8,CO,2022,79000,258,9580,16100,151.9,258.0,252.1,206.4,238.8,86.9
8,CO,2023,81500,272,10080,17150,156.7,272.0,265.3,219.9,252.4,95.7
8,CO,2024,84000,286,10600,18200,161.5,286.0,278.9,233.3,266.1,104.6
