State,Education Per Capita ($),Prison Per Capita ($)
United States Total,44529.37725575786,4882.3203981470115
Alabama,53926.48310482975,5169.585982944905
Alaska,29803.169862326817,4898.342035557396
Arizona,39042.33074832914,7182.954280565152
Arkansas,27203.21431123178,2536.376464704201
California,58909.36022249378,9677.67643988379
Colorado,38243.120775852774,4405.4982720365
Connecticut,38049.34345611219,2383.0014695451196
Delaware,22195.53116220997,3876.1922103145703
District of Columbia,161806.05386156242,12491.342087691964
Florida,33537.33245750601,4953.7416353882545
Georgia,106431.42169725116,11138.25898882527
Hawaii,27292.914966505923,2568.275546051627
Idaho,64244.81856744104,11431.59190311875
Illinois,41088.01407273627,2606.2951706350573
Indiana,33866.234342891956,3317.1306574694604
Iowa,42281.0264598061,2777.649394439134
Kansas,61522.13070201112,5294.7443241209185
Kentucky,23859.248332101804,2733.8351921850867
Louisiana,37939.549112961555,3610.1826676516202
Maine,21936.31156607323,1946.3650389950753
Maryland,36409.354833323596,4550.597747593565
Massachusetts,51884.92037083489,4186.551348141475
Michigan,27928.278449250338,3148.3832900637244
Minnesota,24799.967216070683,1961.6362459122538
Mississippi,39311.63812420562,3687.913718748393
Missouri,117366.16877854722,8587.741270075143
Montana,30756.60278252906,3755.9159045913075
Nebraska,102985.29157957312,12674.458741634226
Nevada,31909.166740813238,5235.241124655218
New Hampshire,20082.8797652032,1358.267716535433
New Jersey,64084.70376290435,3784.400858376679
New Mexico,44721.80487996234,8174.044798368115
New York,84921.81206638951,6589.044969527086
North Carolina,65689.18113202434,8345.932083960053
North Dakota,86537.95031810999,8019.167645986141
Ohio,32483.75842441084,2651.7567810087735
Oklahoma,17304.696700668563,1641.6212200822567
Oregon,23193.9830842242,3765.6444814838187
Pennsylvania,29052.40361032081,3508.1076882828083
Rhode Island,22296.18821203905,2013.4627970029248
South Carolina,88014.43689780445,7450.481756436582
South Dakota,34713.487174772454,4293.831019582605
Tennessee,54402.723556396806,5768.7781239183105
Texas,57672.64081749973,5577.163430565054
Utah,61545.17682248445,6451.859417461562
Vermont,30780.789830374648,2203.3925070074088
Virginia,57824.36753556377,9220.484051388088
Washington,60886.556680591944,6186.317354669688
West Virginia,23643.23361564465,2378.769704239516
Wisconsin,23094.423090495035,3155.189181838681
Wyoming,86377.48620705643,9801.335249663869
