state,kfr_black_pooled_p50,kfr_white_pooled_p50,state_fips_str,State,State Abbr
1,0.37936578177874186,0.4991452231431159,01,Alabama,AL
2,0.3889023934615385,0.4737079268,02,Alaska,AK
4,0.3822218063033473,0.5061204947689076,04,Arizona,AZ
5,0.3858963456746667,0.5008836616986706,05,Arkansas,AR
6,0.3855945322277427,0.5236781929599121,06,California,CA
8,0.40317465667200003,0.5351439935332786,08,Colorado,CO
9,0.4083495947340426,0.5463438831565657,09,Connecticut,CT
10,0.39254585988505747,0.50874894784689,10,Delaware,DE
12,0.3843767432653722,0.4916481896693187,12,Florida,FL
13,0.37321705268203886,0.4953192639427027,13,Georgia,GA
15,0.4330440485714286,0.507337538021978,15,Hawaii,HI
16,0.427886365,0.5260957203367004,16,Idaho,ID
17,0.3716641621486486,0.5421607525552736,17,Illinois,IL
18,0.37579316470288626,0.5001404700821918,18,Indiana,IN
19,0.3842837194366197,0.5670195437682927,19,Iowa,IA
20,0.38763326593856656,0.5384331756149733,20,Kansas,KS
21,0.3811709870760095,0.48881378674290943,21,Kentucky,KY
22,0.395838479876161,0.5380367199614272,22,Louisiana,LA
23,0.449735374,0.5040739666857142,23,Maine,ME
24,0.42247176630885125,0.5353100421593625,24,Maryland,MD
25,0.4385243685399516,0.5507073926207386,25,Massachusetts,MA
26,0.3645013311959522,0.5033499316053048,26,Michigan,MI
27,0.4203701597435897,0.5685887142738901,27,Minnesota,MN
28,0.376112372394822,0.5141060274091628,28,Mississippi,MS
29,0.3858331319638752,0.5147124844827586,29,Missouri,MO
30,0.37870276,0.5546554731153847,30,Montana,MT
31,0.38636901959016395,0.5712865914421252,31,Nebraska,NE
32,0.3704545068473054,0.49310693191616767,32,Nevada,NV
33,0.4347427077777778,0.526455416609589,33,New Hampshire,NH
34,0.4075798464600939,0.5671392388972972,34,New Jersey,NJ
35,0.4137165489130435,0.5152486189692983,35,New Mexico,NM
36,0.40817830958472556,0.5629147779663949,36,New York,NY
37,0.37950642124596273,0.49334754383150875,37,North Carolina,NC
38,0.47250002333333335,0.6272656572413793,38,North Dakota,ND
39,0.3662471287408471,0.5053104812669522,39,Ohio,OH
40,0.40063203462947367,0.5256745445151811,40,Oklahoma,OK
41,0.3798271617391304,0.5041574771445929,41,Oregon,OR
42,0.3840597189734189,0.5468200611434236,42,Pennsylvania,PA
44,0.42011455,0.5266843268200837,44,Rhode Island,RI
45,0.38447627885623675,0.490830885449385,45,South Carolina,SC
46,0.4051138942857143,0.5912486368837209,46,South Dakota,SD
47,0.37472688347058825,0.48365228644210523,47,Tennessee,TN
48,0.4032620522915211,0.5364544640872773,48,Texas,TX
49,0.34850375523809524,0.5536481186701209,49,Utah,UT
50,,0.5263327745901639,50,Vermont,VT
51,0.42053629503937007,0.5273195448729282,51,Virginia,VA
53,0.39448264179746834,0.5224523041759777,53,Washington,WA
54,0.3717663844827586,0.5032815526556017,54,West Virginia,WV
55,0.37472684667796613,0.5386545406523351,55,Wisconsin,WI
56,0.42503213500000003,0.5726279882442749,56,Wyoming,WY
