year,min,max
1820,-0.026999999999999996,-0.01620000000000002
1850,-0.011099999999999999,-0.010899999999999993
1880,-0.010000000000000009,-0.0012000000000000066
1900,0.001799999999999996,0.012500000000000011
1905,0.032899999999999985,0.032899999999999985
1910,0.012500000000000011,0.1068
1920,-0.25260000000000005,0.062
1928,-0.23450000000000001,-0.23450000000000001
1930,-0.25260000000000005,0.03469999999999998
1934,-0.21319999999999997,-0.21319999999999997
1940,-0.229,0.002599999999999991
1950,-0.20400000000000001,-0.19190000000000002
1956,-0.17,-0.17
1959,-0.1855,-0.1855
1960,-0.20400000000000001,-0.2037
1961,-0.1931,-0.1931
1964,-0.20750000000000002,-0.20750000000000002
1966,-0.22749999999999998,-0.22749999999999998
1968,-0.2505,-0.2505
1970,-0.2484,-0.20400000000000001
1972,-0.2416,-0.2416
1976,-0.2456,-0.2456
1978,-0.18669999999999998,-0.18669999999999998
1979,-0.18580000000000002,-0.18580000000000002
1980,-0.25279999999999997,-0.18409999999999999
1981,-0.249,-0.1785
1982,-0.2453,-0.17099999999999999
1983,-0.2421,-0.1718
1984,-0.239,-0.1657
1985,-0.2362,-0.1567
1986,-0.2342,-0.1441
1987,-0.2321,-0.1407
1988,-0.2302,-0.1375
1989,-0.2169,-0.12930000000000003
1990,-0.2092,-0.1325
1991,-0.19390000000000002,-0.1185
1992,-0.1154,-0.1054
1993,-0.09200000000000001,-0.09190000000000001
1994,-0.08570000000000001,-0.03449999999999999
1995,-0.09110000000000001,-0.003899999999999987
1996,-0.09409999999999999,0.06259999999999999
1997,-0.09439999999999998,0.026099999999999984
1998,-0.0921,0.0032999999999999974
1999,-0.0848,0.043300000000000005
2000,-0.0691,0.0816
2001,-0.058499999999999996,0.11259999999999998
2002,-0.029200000000000004,0.1016
2003,-0.019199999999999995,0.09840000000000002
2004,-0.012199999999999989,0.0799
2005,-0.0012000000000000066,0.09540000000000001
2006,0.004599999999999993,0.1094
2007,0.011300000000000004,0.12360000000000002
2008,0.010800000000000004,0.1064
2009,0.013800000000000007,0.0605
2010,0.01369999999999999,0.0257
2011,0.0058,0.04310000000000003
2012,-0.007099999999999995,0.021799999999999986
2013,-0.0014000000000000123,0.039099999999999996
2014,-0.006400000000000017,0.022499999999999992
2015,-0.003599999999999992,0.015199999999999991
2016,-0.0005999999999999894,0.0242
2017,0.013000000000000012,0.026600000000000013
2018,0.009199999999999986,0.03469999999999998
2019,0.0068000000000000005,0.032200000000000006
2020,0.0179,0.08080000000000001
2021,0.019800000000000012,0.08080000000000001
2022,0.022499999999999992,0.08080000000000001
2023,0.022499999999999992,0.08080000000000001
