country,year,bottom_50,top_1,gap
canada,1820,0.12,0.175,0.05499999999999999
canada,1850,0.1289,0.117,-0.01189999999999998
canada,1880,0.1262,0.12,-0.006200000000000011
canada,1900,0.1241,0.12,-0.004100000000000006
canada,1910,0.12,0.122,0.0020000000000000018
canada,1920,0.1985,0.1041,-0.09440000000000001
canada,1921,0.1634,0.1375,-0.02589999999999998
canada,1922,0.1911,0.1131,-0.07799999999999999
canada,1923,0.2081,0.1043,-0.1038
canada,1924,0.2061,0.1054,-0.10070000000000001
canada,1925,0.2094,0.0953,-0.11410000000000001
canada,1926,0.208,0.1011,-0.1069
canada,1927,0.2063,0.106,-0.10030000000000001
canada,1928,0.2037,0.1112,-0.0925
canada,1929,0.2024,0.1138,-0.0886
canada,1930,0.1981,0.1178,-0.0803
canada,1931,0.1842,0.1252,-0.059
canada,1932,0.1689,0.1364,-0.0325
canada,1933,0.1623,0.1411,-0.021199999999999997
canada,1934,0.1623,0.1411,-0.021199999999999997
canada,1935,0.1751,0.1299,-0.04520000000000002
canada,1936,0.1751,0.1299,-0.04520000000000002
canada,1937,0.1855,0.1224,-0.0631
canada,1938,0.1685,0.1427,-0.025800000000000017
canada,1939,0.1792,0.1284,-0.05080000000000001
canada,1940,0.1929,0.11,-0.08289999999999999
canada,1941,0.2052,0.0972,-0.108
canada,1942,0.2203,0.081,-0.13929999999999998
canada,1943,0.2214,0.0769,-0.14450000000000002
canada,1944,0.2257,0.0715,-0.1542
canada,1945,0.2259,0.0727,-0.1532
canada,1946,0.2246,0.0771,-0.1475
canada,1947,0.224,0.0791,-0.1449
canada,1948,0.2276,0.0745,-0.1531
canada,1949,0.2239,0.0773,-0.1466
canada,1950,0.2239,0.0785,-0.14539999999999997
canada,1951,0.2287,0.0717,-0.15699999999999997
canada,1952,0.2288,0.0706,-0.1582
canada,1953,0.2261,0.0711,-0.155
canada,1954,0.223,0.0749,-0.1481
canada,1955,0.224,0.0734,-0.1506
canada,1956,0.2265,0.0693,-0.1572
canada,1957,0.2247,0.0699,-0.1548
canada,1958,0.2236,0.0716,-0.152
canada,1959,0.2235,0.0707,-0.1528
canada,1960,0.2223,0.0715,-0.1508
canada,1961,0.2208,0.0727,-0.1481
canada,1962,0.2245,0.0687,-0.1558
canada,1963,0.2255,0.0669,-0.15860000000000002
canada,1964,0.2246,0.0687,-0.15589999999999998
canada,1965,0.2265,0.0671,-0.1594
canada,1966,0.2279,0.0648,-0.1631
canada,1967,0.2267,0.0658,-0.16090000000000002
