Series ID,Series Name,Units,Region Name,Region Code,1984-01-01,1985-01-01,1986-01-01,1987-01-01,1988-01-01,1989-01-01,1990-01-01,1991-01-01,1992-01-01,1993-01-01,1994-01-01,1995-01-01,1996-01-01,1997-01-01,1998-01-01,1999-01-01,2000-01-01,2001-01-01,2002-01-01,2003-01-01,2004-01-01,2005-01-01,2006-01-01,2007-01-01,2008-01-01,2009-01-01,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01
MEHOINUSALA672N,Real Median Household Income by State,2024 C-CPI-U Dollars,Alabama,01,46660,47790,49070,48960,47720,48780,51050,51340,53080,50340,53410,49870,56640,58450,65470,64120,60570,58790,62100,60270,57810,56980,56570,61350,62350,56280,56840,57360,57430,61770,54420,57330,60290,63820,61420,68110,65600,65360,63870,62230,65560
MEHOINUSAKA672N,Real Median Household Income by State,2024 C-CPI-U Dollars,Alaska,02,87220,90670,80420,82440,79190,82520,85880,85640,85970,86160,89100,92000,98660,87830,91520,90910,90360,95920,87160,83860,86900,85730,84100,91550,89710,86710,80320,77340,84090,94600,87040,96750,96680,97850,84540,95010,89650,93150,95670,100700,91260
MEHOINUSAZA672N,Real Median Household Income by State,2024 C-CPI-U Dollars,Arizona,04,57750,62240,65400,66360,63240,65430,63870,64820,60380,61230,61460,59210,59140,59910,66960,65440,68020,71410,65620,66600,69200,69400,69550,68620,65770,64380,65120,65480,62160,68680,63390,67300,72900,74900,76600,85650,80470,81310,78300,84800,84700
MEHOINUSARA672N,Real Median Household Income by State,2024 C-CPI-U Dollars,Arkansas,05,42250,45490,48040,46710,48260,49120,49800,49420,49120,46240,50210,49530,50700,47880,49950,52500,50780,55750,53490,51770,55210,56230,55240,59290,55500,51430,53580,55620,51550,51400,57820,55130,58610,62420,61230,66100,60900,58310,57540,64880,64840
MEHOINUSCAA672N,Real Median Household Income by State,2024 C-CPI-U Dollars,California,06,68160,70340,74400,74790,72460,75650,72750,70990,71780,68380,69390,71010,72550,72640,73900,77170,80050,79030,78340,79760,77690,79380,82460,81000,79930,79010,75370,71870,75340,79360,77850,81970,85080,87880,86690,94660,93140,93660,90930,92200,100600
MEHOINUSCOA672N,Real Median Household Income by State,2024 C-CPI-U Dollars,Colorado,08,69550,73470,69740,65680,62710,61430,67170,66430,66810,69210,74300,78100,76550,79120,84130,85210,82480,82600,79760,80790,80310,77380,83020,88860,85440,78730,83640,78960,75650,88650,78430,85780,90090,94080,89820,87870,100500,97540,95870,99140,106500
MEHOINUSCTA672N,Real Median Household Income by State,2024 C-CPI-U Dollars,Connecticut,09,80730,81050,83920,81520,86630,96990,84950,88900,83990,79300,80710,77210,78730,80490,83960,89490,85780,89200,88170,88920,86960,87180,93020,93220,90680,91280,91640,88100,84880,90450,90300,93880,96930,93230,89550,105800,95280,92950,96720,94620,99240
MEHOINUSDEA672N,Real Median Household Income by State,2024 C-CPI-U Dollars,Delaware,10,69600,59910,65720,72550,72980,73490,67320,68720,73380,72380,70450,67010,73480,78750,74850,82470,86110,82940,82000,79300,75830,78590,78160,79340,71080,73350,76670,73610,64700,70610,74040,74390,74110,81510,79960,89920,83990,78860,86090,88570,85860
MEHOINUSDCA672N,Real Median Household Income by State,2024 C-CPI-U Dollars,District of Columbia,11,55010,54940,62380,68110,63970,61310,59860,63020,62210,54800,59150,58990,59750,58300,60360,68400,70480,68840,64520,72870,68580,69010,72260,73800,77930,74800,79050,74410,86200,78400,87880,90250,90620,102000,105500,112800,105800,104100,108400,113900,104800
MEHOINUSFLA672N,Real Median Household Income by State,2024 C-CPI-U Dollars,Florida,12,53330,55640,58600,60750,60780,59780,58320,57470,56250,57300,57530,57070,57280,59390,63020,63380,66440,60900,62800,63050,63980,65940,68080,66550,62890,64230,61190,60740,60870,63350,59390,62890,65340,66610,67210,70740,69280,68580,69680,74070,75630
MEHOINUSGAA672N,Real Median Household Income by State,2024 C-CPI-U Dollars,Georgia,13,53870,54870,62500,66270,63550,63120,60230,57390,59220,63540,61800,65420,60740,67090,69810,69730,71640,71190,70910,68660,64680,70440,73550,70690,64810,61000,61260,61910,63580,61340,63780,65390,68340,72750,68650,68630,71090,70610,72200,74290,81210
MEHOINUSHIA672N,Real Median Household Income by State,2024 C-CPI-U Dollars,Hawaii,15,77840,75500,74380,86880,79000,80290,85060,78550,86610,85620,82990,82210,78080,74910,73710,78720,88130,79320,78120,83860,88770,91400,90140,93050,86250,78330,82670,79520,74340,83850,91670,83100,92090,92340,98520,106700,96950,94370,97010,99880,98240
MEHOINUSIDA672N,Real Median Household Income by State,2024 C-CPI-U Dollars,Idaho,16,56850,54120,53220,51490,56100,56500,55300,55070,56980,62230,61940,62690,64880,61130,66220,63320,64310,63940,62290,68550,70010,67760,68890,71480,66480,65840,65330,63910,63320,63270,68780,66490,72220,74650,72230,79970,80030,88310,77370,75820,81650
MEHOINUSILA672N,Real Median Household Income by State,2024 C-CPI-U Dollars,Illinois,17,64020,64830,67990,67190,70630,71730,71120,67240,64890,65940,68900,73040,73940,75550,77950,81950,78760,77200,70540,73050,72720,74240,72550,76310,74660,74420,70440,68190,68360,70410,70680,77810,78370,82770,86270,90170,89160,90990,83170,90090,84210
MEHOINUSINA672N,Real Median Household Income by State,2024 C-CPI-U Dollars,Indiana,18,61380,59110,58290,55870,62900,59350,58850,57130,58670,59150,54710,64050,65700,71170,71730,72230,69870,67520,67790,68640,66810,65090,67680,68970,65220,62360,64070,59850,60980,64560,61860,66960,71620,73730,73660,80830,80130,80590,74650,78900,76710
MEHOINUSIAA672N,Real Median Household Income by State,2024 C-CPI-U Dollars,Iowa,19,53540,54550,57600,55050,58150,60190,59640,60210,59110,57520,64970,68150,62080,61820,66830,72690,70090,68520,67790,66950,68480,71320,71740,71080,70300,71390,68060,67630,70610,78530,74410,78380,75450,79630,84520,80050,82540,83160,81360,82950,85480
MEHOINUSKSA672N,Real Median Household Income by State,2024 C-CPI-U Dollars,Kansas,20,66390,59410,61360,63470,61160,61560,65380,61780,62410,59750,55620,58210,60910,66740,66280,66060,70200,69250,70390,71560,64810,64460,67900,70480,67120,62940,63950,62150,66060,62420,68790,70670,72530,71390,78640,88660,87660,87230,77870,87030,87690
MEHOINUSKYA672N,Real Median Household Income by State,2024 C-CPI-U Dollars,Kentucky,21,47660,45260,50970,51290,47620,53360,54160,50110,48300,48920,52230,57190,60590,61220,65450,59670,62010,64270,60710,59760,56200,56290,58860,57340,57690,60050,57070,53670,54280,58580,55070,54600,57920,62320,67100,67460,68080,63870,59560,63590,64790
MEHOINUSLAA672N,Real Median Household Income by State,2024 C-CPI-U Dollars,Louisiana,22,51080,55210,53580,52960,49040,52390,48970,53350,52320,52810,50430,53620,56570,60870,57290,57760,52520,55720,56160,54210,57500,57110,54390,60040,55460,63950,54570,54750,51640,60600,54580,59150,53870,54660,61460,62670,61390,65680,62180,59140,60740
MEHOINUSMEA672N,Real Median Household Income by State,2024 C-CPI-U Dollars,Maine,23,55660,53490,60080,58550,63160,64670,60020,58770,60910,55070,59540,64960,64860,59970,64340,68740,63720,61220,60860,60040,65230,67370,68030,69610,66210,66860,66550,66920,64950,71740,66560,65380,64930,66890,72150,80650,76400,81680,80130,77700,90730
MEHOINUSMDA672N,Real Median Household Income by State,2024 C-CPI-U Dollars,Maryland,24,80080,78560,78490,86750,87440,82540,84920,77930,76510,80150,76980,78740,82230,85430,90300,92340,93240,89510,93160,84630,90120,92820,94900,95380,89320,90350,89150,92760,94910,90530,98030,94790,94170,103000,106000,115800,113700,111700,115400,104600,109700
MEHOINUSMAA672N,Real Median Household Income by State,2024 C-CPI-U Dollars,Massachusetts,25,72670,73530,77810,79980,79460,82700,79220,75310,74780,74380,79540,74010,73820,76900,76450,77830,79940,87370,82340,82440,82100,85920,82470,84970,84560,83570,84610,85260,84100,81620,81280,87410,92260,95660,106200,106300,105300,99390,99720,109300,113900
MEHOINUSMIA672N,Real Median Household Income by State,2024 C-CPI-U Dollars,Michigan,26,61900,63200,68230,68720,70510,70530,65430,67730,66360,65550,69300,69890,73320,70900,75500,81520,77820,75320,70540,72840,66690,70450,72510,71750,69800,64740,64260,65830,66080,73840,66930,69820,72890,70770,74350,77710,77240,74040,73550,78950,79460
MEHOINUSMNA672N,Real Median Household Income by State,2024 C-CPI-U Dollars,Minnesota,27,65870,62190,67820,69670,69590,69180,68770,62170,63720,67600,66080,72780,76620,77890,86520,83200,92760,88090,90210,85460,88550,83160,83790,84380,77000,78950,72650,77870,81640,83970,86550,88530,89650,87800,88330,98680,94460,92360,96350,92680,92350
MEHOINUSMSA672N,Real Median Household Income by State,2024 C-CPI-U Dollars,Mississippi,28,41590,42790,42350,45930,43460,45640,44100,41070,42300,44540,49880,50920,49870,52150,52570,57450,58640,50430,51000,52950,54850,50430,51770,54180,51090,49380,52990,55340,48410,42210,45720,51570,52470,54300,52620,54280,54140,53550,51820,56490,55980
MEHOINUSMOA672N,Real Median Household Income by State,2024 C-CPI-U Dollars,Missouri,29,56000,57190,56230,58840,56080,60720,59730,58890,56270,57560,59290,66810,64050,66890,72580,73200,77110,69120,70650,70800,66500,65930,66450,66860,64540,68650,63620,61640,65750,60440,72890,76250,70240,70930,75920,73440,74580,73010,76240,80310,78390
MEHOINUSMTA672N,Real Median Household Income by State,2024 C-CPI-U Dollars,Montana,30,52660,52750,52140,50790,53180,54300,51090,52360,54550,53120,54270,53250,53620,53460,57010,54900,56040,53720,57530,55180,53590,57230,61270,63450,60140,56920,57320,54240,59570,56390,65770,66200,72870,72030,70940,72950,68060,74630,77790,81270,81920
MEHOINUSNEA672N,Real Median Household Income by State,2024 C-CPI-U Dollars,Nebraska,31,57680,56830,55840,57720,60190,60320,60060,62310,61800,62230,62440,63180,63580,63490,65740,68320,71380,72920,70680,71140,69110,73510,71760,71470,71120,69810,72900,74900,68960,75220,73200,77890,75800,74760,83110,88560,86660,89680,83540,91500,86140
MEHOINUSNVA672N,Real Median Household Income by State,2024 C-CPI-U Dollars,Nevada,32,69480,60670,67240,66680,66940,67240,69990,69460,65620,71880,70450,69230,72040,71100,71770,73330,78240,75920,74250,73100,74500,73950,77930,78560,76750,72400,71090,63350,62540,67680,64190,66990,70770,72820,76090,85930,73360,73870,77100,83410,80590
MEHOINUSNHA672N,Real Median Household Income by State,2024 C-CPI-U Dollars,New Hampshire,33,69850,68830,78350,80220,82830,86010,89180,75990,81100,76190,69220,75150,73660,75030,81170,81460,87070,85830,91360,89900,89670,87410,92370,98210,92770,90270,92520,88720,89600,90200,94470,97470,97360,94890,100000,105300,106600,102000,90580,101300,111800
MEHOINUSNJA672N,Real Median Household Income by State,2024 C-CPI-U Dollars,New Jersey,34,74870,80760,81340,84940,86810,89650,84650,84460,80210,81280,83040,84270,88730,87880,89960,87970,86180,86570,90120,90670,87240,97200,101400,87940,91550,91180,87430,83950,88110,83220,83970,88050,87410,89380,91230,106300,102600,101700,98430,93960,103500
MEHOINUSNMA672N,Real Median Household Income by State,2024 C-CPI-U Dollars,New Mexico,35,55610,53240,50900,51500,46160,51800,54720,55970,53180,53700,52840,49870,46890,55060,56950,57620,60000,55390,58560,56790,62440,59740,59670,64460,59020,61290,62670,56540,57370,52430,60090,58110,61860,57210,59380,64370,61060,61380,60150,62560,64140
MEHOINUSNYA672N,Real Median Household Income by State,2024 C-CPI-U Dollars,New York,36,59370,61620,64180,65450,69170,72180,69040,67050,63860,63610,62650,63370,66190,65510,67510,70730,69660,70420,69310,69220,70470,72360,71880,71130,70740,70680,69120,68190,63000,65230,69900,74710,78440,77220,82740,87080,82350,83720,80920,83710,86830
MEHOINUSNCA672N,Real Median Household Income by State,2024 C-CPI-U Dollars,North Carolina,37,55440,55920,56070,56460,58410,60520,57540,56630,57110,57840,59140,61350,66550,65590,64700,65890,65510,63810,60310,60310,63510,64510,59320,63240,60180,58990,60860,60880,54900,60490,60210,65430,68640,62170,65640,74120,72480,72210,69370,70390,67220
MEHOINUSNDA672N,Real Median Household Income by State,2024 C-CPI-U Dollars,North Dakota,38,55990,55280,55160,56010,57640,57820,55210,54600,55440,56430,55540,55810,58820,57940,54710,57770,61550,59850,59780,65380,61900,64720,61180,68600,69580,70480,70820,75900,73680,77220,78160,73950,76840,75490,81790,84870,76900,79090,83910,78950,88080
MEHOINUSOHA672N,Real Median Household Income by State,2024 C-CPI-U Dollars,Ohio,39,62330,65630,64410,63940,66360,66510,65590,62820,64590,62790,62560,67040,63680,66130,70270,69850,73460,69870,70490,70410,67950,67800,68420,71360,65800,64580,63710,60130,58630,66250,63900,68650,68920,76140,75800,78370,72420,71970,71980,75680,80520
MEHOINUSOKA672N,Real Median Household Income by State,2024 C-CPI-U Dollars,Oklahoma,40,57000,55280,53730,53810,56620,54240,53290,53690,52000,52700,53010,50480,51290,57370,60890,57810,55450,59540,60210,58080,62520,57740,57890,62810,64640,64580,59850,65260,63960,60260,60750,60640,65040,65100,66950,71990,62940,69000,67630,69070,65310
MEHOINUSORA672N,Real Median Household Income by State,2024 C-CPI-U Dollars,Oregon,41,57680,57070,63540,62110,66380,65380,63990,63670,65660,66500,61780,69790,66340,68160,70530,71850,72660,69010,69040,67360,64700,67730,70190,73010,72520,69110,70260,69390,68410,63960,75780,78360,75500,78410,85070,90190,92180,93980,92510,91030,89700
MEHOINUSPAA672N,Real Median Household Income by State,2024 C-CPI-U Dollars,Pennsylvania,42,54840,59640,61060,63070,63980,65750,63390,64040,61460,62200,62980,66240,65230,68660,70440,66780,72110,72730,70190,69460,69610,71020,72260,70400,72060,67810,67090,67210,68580,72000,71010,77780,77850,76890,79360,85540,84910,83380,76970,81880,80060
MEHOINUSRIA672N,Real Median Household Income by State,2024 C-CPI-U Dollars,Rhode Island,44,58260,64190,68070,70190,71390,69040,69860,65030,62590,67250,62710,67840,69140,63680,73450,75560,72150,76450,70050,72330,75650,75900,80100,78790,74640,72680,71680,66030,74070,73520,75470,71740,78550,82060,76580,85020,96170,86090,85980,83980,92290
MEHOINUSSCA672N,Real Median Household Income by State,2024 C-CPI-U Dollars,South Carolina,45,54740,52230,56340,62140,61080,54540,62800,57910,56720,52290,58620,55780,64800,62700,60060,64490,64240,63100,62450,62250,61070,61710,59050,64260,59100,57850,57900,53980,58660,56870,57830,59710,69370,68430,70650,75180,72380,71810,65840,70890,76780
MEHOINUSSDA672N,Real Median Household Income by State,2024 C-CPI-U Dollars,South Dakota,46,52320,47290,51030,52470,53330,55250,53700,51960,54000,55670,58390,56750,55190,54340,59190,63370,62370,66330,62550,63940,64880,66190,67710,67460,72340,64500,62970,63600,65290,69720,68280,70930,73350,71410,73130,77870,84190,84840,71620,83860,79850
MEHOINUSTNA672N,Real Median Household Income by State,2024 C-CPI-U Dollars,Tennessee,47,45240,46350,46820,52540,49890,51820,49370,51570,50010,50380,56250,55670,57550,56060,61550,64600,58300,59830,61160,60710,60090,60440,60660,59870,55660,57030,53580,56940,56810,56600,56270,60960,65550,69390,68950,68630,65940,71370,69700,74580,75860
MEHOINUSTXA672N,Real Median Household Income by State,2024 C-CPI-U Dollars,Texas,48,62060,61900,61970,61330,59720,59320,61690,58480,57490,57650,60400,61470,61820,64190,64600,68430,66010,68320,66310,63530,65340,63540,64550,66930,65180,66830,65630,66050,68610,67100,69340,72740,74240,75400,73530,81740,82050,77390,79560,81110,81490
MEHOINUSUTA672N,Real Median Household Income by State,2024 C-CPI-U Dollars,Utah,49,62150,65790,67400,65810,62950,70390,65870,59080,70440,71820,70140,69990,69230,78280,79980,81450,81300,79160,79040,79720,80290,84080,81430,77800,87670,82330,78730,74730,77080,79690,81580,85340,86150,87560,94780,102400,100700,100600,102100,103800,104000
MEHOINUSVTA672N,Real Median Household Income by State,2024 C-CPI-U Dollars,Vermont,50,60860,67780,63090,63050,69350,71720,67960,61480,67360,62340,70310,64890,60480,64150,71080,73550,67700,68210,71010,69990,74700,77770,77480,68870,71090,73640,77660,69840,73440,85520,78140,76630,77670,79900,86170,90050,80670,87350,76960,87400,85260
MEHOINUSVAA672N,Real Median Household Income by State,2024 C-CPI-U Dollars,Virginia,51,71500,74110,76210,74410,78100,78190,76650,76210,78560,73120,73940,69500,73290,78610,78270,80820,80640,84010,81970,88630,80710,79630,85140,85980,86900,85160,83820,84330,85390,86030,85150,79200,84840,88840,94890,98550,98610,92160,90790,98990,97720
MEHOINUSWAA672N,Real Median Household Income by State,2024 C-CPI-U Dollars,Washington,53,67430,62570,68940,67770,77340,73250,70180,71640,69720,71560,65860,68240,68560,81550,85610,80430,72710,71050,74620,76860,78790,77680,81570,84410,79390,85010,77980,76560,82160,83440,76030,86610,89770,89760,98060,99930,97580,100600,95330,95850,97500
MEHOINUSWVA672N,Real Median Household Income by State,2024 C-CPI-U Dollars,West Virginia,54,45400,41670,42230,42690,46300,49680,48380,48810,41690,45000,46280,47730,47190,50300,48210,51820,50290,49620,48490,53000,52670,55900,57270,61170,53260,56990,59400,56320,57540,56220,50910,55160,56630,58920,62200,65090,62340,53770,55920,61970,63150
MEHOINUSWIA672N,Real Median Household Income by State,2024 C-CPI-U Dollars,Wisconsin,55,55910,60600,67790,65420,70750,66740,67120,65650,68500,63750,69500,78580,74770,72460,74610,80770,77090,75820,75810,74850,72180,68490,77050,74520,71780,72120,69910,70110,70130,67520,74750,71390,76370,79650,77030,81630,80850,80300,78170,81750,82560
MEHOINUSWYA672N,Real Median Household Income by State,2024 C-CPI-U Dollars,Wyoming,56,64200,57560,60420,68450,63200,67650,64380,61260,62130,59090,65090,60490,57860,61160,63640,65880,67760,66410,65670,68850,71650,68590,70120,70840,74770,73860,72480,73410,75990,88040,71680,78470,73830,74700,76920,78940,78500,81580,77920,79200,78680
