year,state,state_name,income_mean_bottom,income_mean_upper,income_mean_top,share_bottom,share_upper,share_top,n_bottom_50,n_upper_49,n_top_1,total,total_agi
1997,AK,Alaska,6967.715658140935,55391.13626665593,396398.45755655214,0.1007201003811734,0.784679090989702,0.1146008086291246,171577.0,168145.46,3431.54,343154.0,11869525.0
1998,AK,Alaska,9191.44185669722,59404.400523187294,455301.3979279254,0.1201279243692038,0.7608604716883173,0.1190116039424788,164486.0,161196.28,3289.7200000000003,328972.0,12585446.0
1999,AK,Alaska,10178.757442616336,61862.1227454331,443539.5264295854,0.1277543832404905,0.7609076288739745,0.1113379878855351,163755.0,160479.9,3275.1,327510.0,13047086.0
2000,AK,Alaska,11017.833595004608,65365.29542869711,493880.1537916832,0.1296926338231293,0.7540365632356164,0.1162708029412542,164373.5,161086.03,3287.4700000000003,328747.0,13964092.0
2001,AK,Alaska,11489.662233351364,65871.27842158709,450607.6697321197,0.1350840271850643,0.7589600317756885,0.1059559410392472,166530.5,163199.88999999998,3330.61,333061.0,14164363.0
2002,AK,Alaska,10257.61884604486,68337.47706591542,403539.2003573822,0.1202546708344375,0.7851279049151373,0.0946174242504251,167831.5,164474.87,3356.63,335663.0,14315881.0
2004,AK,Alaska,17956.763685910635,65305.91453793628,438383.6895994253,0.1979268707887392,0.7054322050392546,0.0966409241720062,172604.5,169152.41,3452.09,345209.0,15659411.0
2005,AK,Alaska,18196.775168364707,70589.1350068448,452446.20301324,0.1887181008961938,0.7174358330834985,0.0938460660203076,173463.5,169994.23,3469.27,346927.0,16725880.0
2006,AK,Alaska,18962.435185861388,78595.91805510128,458669.8125404008,0.1803201372803575,0.7324469701581338,0.0872328925615087,170664.5,167251.21,3413.29,341329.0,17947050.0
2007,AK,Alaska,18361.41508274011,81965.3990636049,459012.5840746366,0.1702215328222353,0.7446719268661453,0.0851065403116193,185304.0,181597.92,3706.08,370608.0,19988327.0
2008,AK,Alaska,19326.51147396293,89452.16491970424,440735.4373858331,0.1668893511796498,0.756993392701682,0.0761172561186682,179854.5,176257.41,3597.09,359709.0,20827932.0
2009,AK,Alaska,19563.09110308974,86549.1118912261,428193.55183089577,0.1732088645244103,0.750967822566118,0.0758233129094716,178935.0,175356.3,3578.7000000000003,357870.0,20209830.0
2010,AK,Alaska,16269.062347471614,86516.67904559133,701610.5706916555,0.1413624024624746,0.736711264295027,0.1219263332424983,186882.5,183144.85,3737.65,373765.0,21507862.0
2011,AK,Alaska,15990.82063780292,89155.5277247115,685458.0697412712,0.1365891597565743,0.7463109816245532,0.1170998586188725,185409.5,181701.31,3708.19,370819.0,21706335.0
2012,AK,Alaska,16921.198937930818,93552.52006011,849423.7047527983,0.1347324228066194,0.7299994863795817,0.1352680908137988,181545.0,177914.1,3630.9,363090.0,22800444.0
2013,AK,Alaska,22546.088668264292,102906.44708524375,844276.5892420538,0.16071890352025917,0.7188955889011539,0.1203855075785869,163576.0,160305.0,3272.0,327153.0,22946890.0
2014,AK,Alaska,24211.600018373916,108330.25075464505,913447.4898958971,0.1628802143438721,0.7141991163865258,0.1229206692696021,163275.0,160009.0,3266.0,326550.0,24270283.588
2015,AK,Alaska,24939.207467160577,110986.55890581287,957715.1995126408,0.16314757827408702,0.7115348460477131,0.12531757567819993,164132.0,160850.0,3283.0,328265.0,25089689.0
2016,AK,Alaska,24000.10267879517,108313.49496589592,899399.6171679198,0.16201658146319523,0.7165708194670408,0.12141259906976384,159624.0,156433.0,3192.0,319249.0,23645680.926
2017,AK,Alaska,24565.82752003826,110525.81193705984,895906.6237810632,0.1629037425420184,0.7182724851087106,0.11882377234927105,158946.0,155767.0,3179.0,317892.0,23969001.326
2018,AK,Alaska,25928.02016164511,116193.7703614396,936890.0062853551,0.1635483608299727,0.7182680356036955,0.11818360356633187,159114.0,155932.0,3182.0,318228.0,25225022.0
2019,AK,Alaska,25885.525993133888,117622.79884147906,997322.8080931944,0.16067897680322032,0.7155227581557544,0.12379826504102531,163120.0,159859.0,3262.0,326241.0,26278777.0
2020,AK,Alaska,24376.52386766183,117023.17317900913,999771.7293233082,0.1532602470891073,0.7210401980645411,0.12569955484635156,166271.0,162947.0,3325.0,332543.0,26445925.0
2021,AK,Alaska,27569.145149408494,128448.77642035046,1405755.493655215,0.15184080816525397,0.6932989471914849,0.15486024464326112,161537.0,158306.0,3231.0,323074.0,29329645.0
2022,AK,Alaska,30837.089076589855,134632.76718089014,1252711.4489605958,0.16417197167597014,0.702427395909144,0.13340063241488578,161131.0,157908.0,3223.0,322262.0,30265891.0
1997,AL,Alabama,10310.411442370509,48299.17976140076,489099.3582464309,0.152915394769748,0.702006357158538,0.145078248071714,932014.5,913374.21,18640.29,1864029.0,62841632.0
1998,AL,Alabama,10902.444565187783,50316.99989240614,525774.2383639972,0.1541448045880421,0.697181442942116,0.1486737524698417,939889.0,921091.22,18797.78,1879778.0,66477023.0
1999,AL,Alabama,11401.07492974956,52635.48663796349,550396.2181503726,0.1540857040550907,0.6971420278815462,0.148772268063363,949196.0,930212.08,18983.92,1898392.0,70232698.0
2000,AL,Alabama,11834.66991499864,54519.53658229695,549043.8045804744,0.1552195913802736,0.7007588928377851,0.1440215157819411,952075.0,933033.5,19041.5,1904150.0,72590665.0
2001,AL,Alabama,12218.55870742858,54950.93960473753,505497.4801585809,0.1603897332694421,0.7068996779411987,0.1327105887893591,946488.0,927558.24,18929.76,1892976.0,72103862.0
2002,AL,Alabama,11094.294517292949,57668.227396148206,466735.0146523399,0.1441868767033152,0.7344947935806323,0.1213183297160525,941286.0,922460.28,18825.72,1882572.0,72426176.0
2003,AL,Alabama,13170.105512657385,58034.81316090932,470825.0596855191,0.1657435889746245,0.7157513085469306,0.1185051024784448,941882.5,923044.85,18837.65,1883765.0,74842665.0
