year,state,state_name,income_mean_bottom,income_mean_upper,income_mean_top,share_bottom,share_upper,share_top,n_bottom_50,n_upper_49,n_top_1,total,total_agi
1997,AK,Alaska,6967.7156581409345,55391.13626665593,396398.45755655214,0.1007201003811734,0.784679090989702,0.11460080862912465,171577.0,168145.46,3431.54,343154.0,11869525.0
1998,AK,Alaska,9191.44185669722,59404.400523187294,455301.3979279254,0.12012792436920383,0.7608604716883173,0.11901160394247885,164486.0,161196.28,3289.7200000000003,328972.0,12585446.0
1999,AK,Alaska,10178.757442616336,61862.1227454331,443539.5264295854,0.1277543832404905,0.7609076288739745,0.11133798788553514,163755.0,160479.9,3275.1,327510.0,13047086.0
2000,AK,Alaska,11017.833595004608,65365.29542869711,493880.1537916832,0.12969263382312934,0.7540365632356164,0.11627080294125425,164373.5,161086.03,3287.4700000000003,328747.0,13964092.0
2001,AK,Alaska,11489.662233351364,65871.27842158709,450607.6697321197,0.13508402718506435,0.7589600317756885,0.10595594103924726,166530.5,163199.88999999998,3330.61,333061.0,14164363.0
2002,AK,Alaska,10257.618846044861,68337.47706591542,403539.2003573822,0.12025467083443751,0.7851279049151373,0.0946174242504251,167831.5,164474.87,3356.63,335663.0,14315881.0
2004,AK,Alaska,17956.763685910635,65305.91453793628,438383.68959942524,0.19792687078873925,0.7054322050392546,0.09664092417200622,172604.5,169152.41,3452.09,345209.0,15659411.0
2005,AK,Alaska,18196.775168364707,70589.1350068448,452446.20301324,0.18871810089619387,0.7174358330834985,0.09384606602030764,173463.5,169994.23,3469.27,346927.0,16725880.0
2006,AK,Alaska,18962.435185861388,78595.91805510128,458669.81254040083,0.18032013728035753,0.7324469701581338,0.0872328925615087,170664.5,167251.21,3413.29,341329.0,17947050.0
2007,AK,Alaska,18361.41508274011,81965.3990636049,459012.5840746366,0.17022153282223537,0.7446719268661453,0.08510654031161934,185304.0,181597.91999999998,3706.08,370608.0,19988327.0
2008,AK,Alaska,19326.51147396293,89452.16491970424,440735.4373858331,0.16688935117964981,0.756993392701682,0.07611725611866826,179854.5,176257.41,3597.09,359709.0,20827932.0
2009,AK,Alaska,19563.09110308974,86549.1118912261,428193.55183089577,0.1732088645244103,0.750967822566118,0.07582331290947161,178935.0,175356.3,3578.7000000000003,357870.0,20209830.0
2010,AK,Alaska,16269.062347471614,86516.67904559133,701610.5706916555,0.1413624024624746,0.736711264295027,0.12192633324249832,186882.5,183144.85,3737.65,373765.0,21507862.0
2011,AK,Alaska,15990.82063780292,89155.5277247115,685458.0697412712,0.13658915975657432,0.7463109816245532,0.11709985861887252,185409.5,181701.31,3708.19,370819.0,21706335.0
2012,AK,Alaska,16921.198937930818,93552.52006011,849423.7047527983,0.13473242280661948,0.7299994863795817,0.13526809081379887,181545.0,177914.1,3630.9,363090.0,22800444.0
1997,AL,Alabama,10310.411442370509,48299.17976140076,489099.3582464309,0.152915394769748,0.702006357158538,0.14507824807171404,932014.5,913374.21,18640.29,1864029.0,62841632.0
1998,AL,Alabama,10902.444565187785,50316.99989240614,525774.2383639972,0.15414480458804214,0.697181442942116,0.14867375246984177,939889.0,921091.22,18797.78,1879778.0,66477023.0
1999,AL,Alabama,11401.07492974956,52635.486637963484,550396.2181503726,0.15408570405509076,0.6971420278815462,0.14877226806336305,949196.0,930212.08,18983.920000000002,1898392.0,70232698.0
2000,AL,Alabama,11834.66991499864,54519.53658229695,549043.8045804744,0.1552195913802736,0.7007588928377851,0.14402151578194117,952075.0,933033.5,19041.5,1904150.0,72590665.0
2001,AL,Alabama,12218.558707428581,54950.93960473753,505497.4801585809,0.16038973326944211,0.7068996779411987,0.13271058878935915,946488.0,927558.24,18929.760000000002,1892976.0,72103862.0
2002,AL,Alabama,11094.294517292947,57668.227396148206,466735.0146523399,0.1441868767033152,0.7344947935806323,0.12131832971605251,941286.0,922460.28,18825.72,1882572.0,72426176.0
2003,AL,Alabama,13170.105512657385,58034.81316090932,470825.0596855191,0.16574358897462454,0.7157513085469306,0.11850510247844488,941882.5,923044.85,18837.65,1883765.0,74842665.0
