year,income_in_billions,income
1929,85.289,85289000000.0
1930,76.533,76533000000.0
1931,65.668,65668000000.00001
1932,50.294,50294000000.0
1933,47.234,47234000000.0
1934,54.09,54090000000.0
1935,60.843,60843000000.0
1936,69.221,69221000000.0
1937,74.71,74710000000.0
1938,69.084,69084000000.0
1939,73.632,73632000000.0
1940,79.408,79408000000.0
1941,97.878,97878000000.0
1942,126.724,126724000000.0
1943,156.187,156187000000.0
1944,169.717,169717000000.0
1945,175.786,175786000000.0
1946,182.534,182534000000.0
1947,194.481,194481000000.0
1948,213.496,213496000000.0
1949,211.071,211071000000.0
1950,233.735,233735000000.0
1951,264.232,264232000000.00003
1952,282.46,282460000000.0
1953,299.227,299227000000.0
1954,302.221,302221000000.0
1955,324.159,324159000000.0
1956,347.903,347903000000.0
1957,367.983,367983000000.0
1958,378.953,378953000000.0
1959,402.865,402865000000.0
1960,422.138,422138000000.0
1961,440.576,440576000000.0
1962,468.837,468837000000.0
1963,492.774,492774000000.0
1964,528.193,528193000000.0
1965,570.659,570659000000.0
1966,620.339,620339000000.0
1967,665.723,665723000000.0
1968,730.915,730915000000.0
1969,800.336,800336000000.0
1970,865.045,865045000000.0
1971,932.785,932785000000.0
1972,1024.456,1024455999999.9999
1973,1140.78,1140780000000.0
1974,1251.819,1251819000000.0
1975,1369.389,1369389000000.0
1976,1502.647,1502647000000.0
1977,1659.236,1659236000000.0
1978,1863.721,1863721000000.0
1979,2082.709,2082708999999.9998
1980,2324.458,2324458000000.0
1981,2603.2,2603200000000.0
1982,2789.461,2789461000000.0
1983,2981.716,2981716000000.0
1984,3288.674,3288674000000.0
1985,3522.893,3522893000000.0
1986,3731.193,3731193000000.0
1987,3946.806,3946806000000.0
1988,4280.021,4280020999999.9995
1989,4621.012,4621012000000.0
1990,4913.303,4913303000000.0
1991,5089.913,5089913000000.0
1992,5417.494,5417494000000.0
1993,5652.865,5652865000000.0
1994,5940.921,5940921000000.0
1995,6283.359,6283359000000.0
1996,6666.199,6666199000000.0
1997,7073.974,7073974000000.0
1998,7588.358,7588358000000.0
1999,7978.599,7978599000000.0
2000,8621.299,8621299000000.001
2001,8993.143,8993143000000.0
2002,9150.049,9150049000000.0
2003,9481.755,9481755000000.0
2004,10015.873,10015873000000.0
2005,10546.102,10546102000000.0
2006,11301.996,11301996000000.0
2007,11932.119,11932119000000.0
2008,12425.679,12425679000000.0
2009,12065.682,12065682000000.0
2010,12556.628,12556628000000.0
2011,13309.571,13309571000000.0
2012,13917.794,13917794000000.0
2013,14068.77,14068770000000.0
2014,14784.074,14784074000000.0
2015,15473.741,15473741000000.0
2016,15887.651,15887651000000.0
2017,16662.756,16662756000000.002
2018,17528.192,17528192000000.0
2019,18363.16,18363160000000.0
2020,19620.082,19620082000000.0
2021,21419.498,21419498000000.0
2022,22088.92,22088920000000.0
2023,23402.535,23402535000000.0
2024,24692.324,24692324000000.0
