year,price,notes
1981,18932.0, Pre-Ram branding D-150 model 
1982,19313.0, 
1983,19936.0, 
1984,20409.0, 
1985,21260.0, Ram name officially adopted 
1986,21774.0, 
1987,22044.0, 
1988,22253.0, 
1989,22230.0, 
1990,22159.0, 
1991,22302.0, Final year of first-gen Ram 
1992,22513.0, 
1993,22745.0, 
1994,27688.0, Second generation begins 
1995,27899.0, 
1996,28096.0, 
1997,28369.0, 
1998,28687.0, 
1999,28920.0, 
2000,29039.0, 
2001,29328.0, Final year of second-gen Ram 
2002,30541.0, Third generation begins 
2003,30595.0, 
2004,30816.0, 
2005,30549.0, 
2006,30515.0, 
2007,31012.0, 
2008,30710.0, Final year of third-gen Ram 
2009,31561.0, Fourth generation begins 
2010,32312.0, Ram becomes separate brand from Dodge 
2011,32329.0, 
2012,32650.0, 
2013,34251.0, Mid-cycle refresh 
2014,34718.0, 
2015,35895.0, 
2016,36850.0, 
2017,37327.0, 
2018,37640.0, Final year of fourth-gen Ram 
2019,39604.0, Fifth generation begins (DT platform) 
2020,39644.0, 
2021,39840.0, 
2022,39743.0, 
2023,41800.0, 
