country,year,share_bottom,share_top,share_upper,income_mean_bottom,income_mean_upper,income_mean_top,multiple,income_mean_gap
australia,1820,0.1599,0.1456,0.6945000000000001,46197,164515,1690025,36.5,1643828
australia,1850,0.1571,0.1489,0.694,45225,164397,1728329,38.2,1683104
australia,1880,0.1585,0.1472,0.6943,45711,164468,1708597,37.300000000000004,1662886
australia,1900,0.1446,0.1636,0.6918,40883,163876,1898957,46.400000000000006,1858074
australia,1910,0.1446,0.1635,0.6919,40883,163900,1897796,46.400000000000006,1856913
australia,1911,0.1449,0.161,0.6940999999999999,40987,164421,1868778,45.5,1827791
australia,1912,0.1452,0.1586,0.6962,41092,164918,1840920,44.7,1799828
australia,1913,0.154,0.1456,0.7004,44148,165913,1690025,38.2,1645877
australia,1914,0.1599,0.1367,0.7034,46197,166624,1586720,34.300000000000004,1540523
australia,1915,0.1653,0.1298,0.7049,48073,166979,1506630,31.3,1458557
australia,1916,0.1765,0.1114,0.7121000000000001,51963,168685,1293055,24.8,1241092
australia,1917,0.175,0.1149,0.7101,51442,168211,1333681,25.900000000000002,1282239
australia,1918,0.1738,0.1165,0.7097,51025,168116,1352252,26.5,1301227
australia,1919,0.1461,0.1583,0.6956,41404,164776,1837438,44.300000000000004,1796034
australia,1920,0.1664,0.1262,0.7074,48455,167571,1464843,30.200000000000003,1416388
australia,1921,0.1544,0.1438,0.7018,44287,166245,1669132,37.6,1624845
australia,1922,0.1623,0.132,0.7057,47031,167169,1532166,32.5,1485135
australia,1923,0.1534,0.1452,0.7014,43940,166150,1685382,38.300000000000004,1641442
australia,1924,0.1539,0.1458,0.7002999999999999,44113,165889,1692347,38.300000000000004,1648234
australia,1925,0.1569,0.1406,0.7024999999999999,45155,166411,1631989,36.1,1586834
australia,1926,0.1589,0.1374,0.7037,45850,166695,1594845,34.7,1548995
australia,1927,0.1541,0.1436,0.7023,44183,166363,1666811,37.7,1622628
australia,1928,0.1523,0.1476,0.7001000000000001,43558,165842,1713240,39.300000000000004,1669682
australia,1929,0.1623,0.1315,0.7062,47031,167287,1526362,32.4,1479331
australia,1930,0.1701,0.1198,0.7101,49740,168211,1390556,27.900000000000002,1340816
australia,1931,0.1735,0.1151,0.7114,50921,168519,1336002,26.200000000000003,1285081
australia,1932,0.174,0.1142,0.7118,51094,168614,1325555,25.900000000000002,1274461
australia,1933,0.1654,0.1274,0.7072,48107,167524,1478772,30.700000000000003,1430665
australia,1934,0.1653,0.1279,0.7068,48073,167429,1484576,30.8,1436503
australia,1935,0.1633,0.1298,0.7069,47378,167453,1506630,31.8,1459252
australia,1936,0.1572,0.139,0.7038,45259,166719,1613417,35.6,1568158
australia,1937,0.1695,0.1208,0.7097,49532,168116,1402164,28.3,1352632
australia,1938,0.1652,0.1275,0.7073,48038,167548,1479933,30.8,1431895
australia,1939,0.1619,0.1318,0.7062999999999999,46892,167311,1529844,32.6,1482952
australia,1940,0.1655,0.1266,0.7079,48142,167690,1469486,30.5,1421344
australia,1941,0.1618,0.1313,0.7069000000000001,46857,167453,1524041,32.5,1477184
australia,1942,0.1632,0.1268,0.71,47343,168187,1471808,31.0,1424465
australia,1943,0.1629,0.1267,0.7103999999999999,47239,168282,1470647,31.1,1423408
