date,ratio,year
1/1/1948,0.5660000000000001,1948
2/1/1948,0.5670000000000001,1948
3/1/1948,0.561,1948
4/1/1948,0.5670000000000001,1948
5/1/1948,0.562,1948
6/1/1948,0.5700000000000001,1948
7/1/1948,0.5710000000000001,1948
8/1/1948,0.5660000000000001,1948
9/1/1948,0.5660000000000001,1948
10/1/1948,0.5650000000000001,1948
11/1/1948,0.5650000000000001,1948
12/1/1948,0.568,1948
1/1/1949,0.562,1949
2/1/1949,0.562,1949
3/1/1949,0.56,1949
4/1/1949,0.557,1949
5/1/1949,0.554,1949
6/1/1949,0.55,1949
7/1/1949,0.55,1949
8/1/1949,0.551,1949
9/1/1949,0.5529999999999999,1949
10/1/1949,0.549,1949
11/1/1949,0.556,1949
12/1/1949,0.5529999999999999,1949
1/1/1950,0.551,1950
2/1/1950,0.551,1950
3/1/1950,0.551,1950
4/1/1950,0.5579999999999999,1950
5/1/1950,0.5579999999999999,1950
6/1/1950,0.562,1950
7/1/1950,0.561,1950
8/1/1950,0.568,1950
9/1/1950,0.5660000000000001,1950
10/1/1950,0.569,1950
11/1/1950,0.569,1950
12/1/1950,0.5670000000000001,1950
1/1/1951,0.569,1951
2/1/1951,0.5700000000000001,1951
3/1/1951,0.5770000000000001,1951
4/1/1951,0.573,1951
5/1/1951,0.5760000000000001,1951
6/1/1951,0.5710000000000001,1951
7/1/1951,0.5760000000000001,1951
8/1/1951,0.574,1951
9/1/1951,0.5710000000000001,1951
10/1/1951,0.573,1951
11/1/1951,0.5710000000000001,1951
12/1/1951,0.5770000000000001,1951
1/1/1952,0.5770000000000001,1952
2/1/1952,0.5770000000000001,1952
3/1/1952,0.5710000000000001,1952
4/1/1952,0.5710000000000001,1952
5/1/1952,0.573,1952
6/1/1952,0.573,1952
7/1/1952,0.5700000000000001,1952
8/1/1952,0.568,1952
9/1/1952,0.574,1952
10/1/1952,0.569,1952
11/1/1952,0.5750000000000001,1952
12/1/1952,0.5760000000000001,1952
1/1/1953,0.578,1953
2/1/1953,0.58,1953
3/1/1953,0.5810000000000001,1953
4/1/1953,0.5750000000000001,1953
5/1/1953,0.5710000000000001,1953
6/1/1953,0.574,1953
7/1/1953,0.574,1953
8/1/1953,0.5710000000000001,1953
9/1/1953,0.568,1953
10/1/1953,0.5670000000000001,1953
11/1/1953,0.5650000000000001,1953
12/1/1953,0.557,1953
1/1/1954,0.557,1954
2/1/1954,0.562,1954
3/1/1954,0.557,1954
4/1/1954,0.557,1954
5/1/1954,0.554,1954
6/1/1954,0.552,1954
7/1/1954,0.55,1954
8/1/1954,0.552,1954
9/1/1954,0.555,1954
10/1/1954,0.555,1954
11/1/1954,0.555,1954
12/1/1954,0.552,1954
1/1/1955,0.557,1955
2/1/1955,0.557,1955
3/1/1955,0.5579999999999999,1955
4/1/1955,0.562,1955
5/1/1955,0.563,1955
6/1/1955,0.563,1955
7/1/1955,0.569,1955
8/1/1955,0.5710000000000001,1955
9/1/1955,0.5720000000000001,1955
10/1/1955,0.5720000000000001,1955
11/1/1955,0.574,1955
12/1/1955,0.5770000000000001,1955
1/1/1956,0.578,1956
2/1/1956,0.5750000000000001,1956
3/1/1956,0.573,1956
4/1/1956,0.5750000000000001,1956
5/1/1956,0.5760000000000001,1956
6/1/1956,0.5750000000000001,1956
7/1/1956,0.5750000000000001,1956
8/1/1956,0.5760000000000001,1956
9/1/1956,0.5760000000000001,1956
10/1/1956,0.5750000000000001,1956
11/1/1956,0.573,1956
12/1/1956,0.573,1956
1/1/1957,0.5700000000000001,1957
2/1/1957,0.5750000000000001,1957
3/1/1957,0.5760000000000001,1957
4/1/1957,0.5720000000000001,1957
5/1/1957,0.5710000000000001,1957
6/1/1957,0.5720000000000001,1957
7/1/1957,0.5750000000000001,1957
8/1/1957,0.569,1957
9/1/1957,0.5700000000000001,1957
10/1/1957,0.568,1957
11/1/1957,0.564,1957
12/1/1957,0.5660000000000001,1957
1/1/1958,0.559,1958
2/1/1958,0.555,1958
3/1/1958,0.5529999999999999,1958
4/1/1958,0.552,1958
5/1/1958,0.554,1958
6/1/1958,0.552,1958
7/1/1958,0.552,1958
8/1/1958,0.554,1958
9/1/1958,0.554,1958
10/1/1958,0.556,1958
11/1/1958,0.555,1958
12/1/1958,0.555,1958
1/1/1959,0.557,1959
2/1/1959,0.555,1959
3/1/1959,0.56,1959
4/1/1959,0.563,1959
5/1/1959,0.562,1959
6/1/1959,0.563,1959
7/1/1959,0.563,1959
8/1/1959,0.561,1959
9/1/1959,0.56,1959
10/1/1959,0.561,1959
11/1/1959,0.557,1959
12/1/1959,0.563,1959
1/1/1960,0.56,1960
2/1/1960,0.562,1960
3/1/1960,0.554,1960
4/1/1960,0.564,1960
5/1/1960,0.564,1960
6/1/1960,0.5650000000000001,1960
7/1/1960,0.562,1960
8/1/1960,0.561,1960
9/1/1960,0.564,1960
10/1/1960,0.5579999999999999,1960
11/1/1960,0.561,1960
12/1/1960,0.557,1960
1/1/1961,0.557,1961
2/1/1961,0.555,1961
3/1/1961,0.556,1961
4/1/1961,0.552,1961
5/1/1961,0.552,1961
6/1/1961,0.556,1961
7/1/1961,0.552,1961
8/1/1961,0.5529999999999999,1961
9/1/1961,0.55,1961
10/1/1961,0.5529999999999999,1961
11/1/1961,0.555,1961
12/1/1961,0.5529999999999999,1961
1/1/1962,0.554,1962
2/1/1962,0.557,1962
3/1/1962,0.557,1962
4/1/1962,0.554,1962
5/1/1962,0.557,1962
6/1/1962,0.556,1962
7/1/1962,0.5529999999999999,1962
8/1/1962,0.557,1962
9/1/1962,0.557,1962
10/1/1962,0.555,1962
11/1/1962,0.552,1962
12/1/1962,0.552,1962
1/1/1963,0.552,1963
2/1/1963,0.551,1963
3/1/1963,0.5529999999999999,1963
4/1/1963,0.555,1963
5/1/1963,0.5529999999999999,1963
6/1/1963,0.5529999999999999,1963
7/1/1963,0.554,1963
8/1/1963,0.554,1963
9/1/1963,0.555,1963
10/1/1963,0.555,1963
11/1/1963,0.554,1963
12/1/1963,0.5529999999999999,1963
1/1/1964,0.5529999999999999,1964
2/1/1964,0.556,1964
3/1/1964,0.555,1964
4/1/1964,0.559,1964
5/1/1964,0.561,1964
6/1/1964,0.556,1964
7/1/1964,0.557,1964
8/1/1964,0.557,1964
9/1/1964,0.557,1964
10/1/1964,0.556,1964
11/1/1964,0.557,1964
12/1/1964,0.556,1964
1/1/1965,0.557,1965
2/1/1965,0.557,1965
3/1/1965,0.559,1965
4/1/1965,0.56,1965
5/1/1965,0.562,1965
6/1/1965,0.561,1965
7/1/1965,0.5650000000000001,1965
8/1/1965,0.563,1965
9/1/1965,0.562,1965
10/1/1965,0.564,1965
11/1/1965,0.564,1965
12/1/1965,0.5660000000000001,1965
1/1/1966,0.5670000000000001,1966
2/1/1966,0.5660000000000001,1966
3/1/1966,0.5660000000000001,1966
4/1/1966,0.568,1966
5/1/1966,0.5670000000000001,1966
6/1/1966,0.569,1966
7/1/1966,0.569,1966
8/1/1966,0.5700000000000001,1966
9/1/1966,0.5710000000000001,1966
10/1/1966,0.5710000000000001,1966
11/1/1966,0.574,1966
12/1/1966,0.573,1966
1/1/1967,0.5710000000000001,1967
2/1/1967,0.5700000000000001,1967
3/1/1967,0.568,1967
4/1/1967,0.5710000000000001,1967
5/1/1967,0.5700000000000001,1967
6/1/1967,0.573,1967
7/1/1967,0.574,1967
8/1/1967,0.574,1967
9/1/1967,0.574,1967
10/1/1967,0.5750000000000001,1967
11/1/1967,0.5750000000000001,1967
12/1/1967,0.5760000000000001,1967
1/1/1968,0.5700000000000001,1968
2/1/1968,0.573,1968
3/1/1968,0.574,1968
4/1/1968,0.574,1968
5/1/1968,0.578,1968
6/1/1968,0.578,1968
7/1/1968,0.5760000000000001,1968
8/1/1968,0.5750000000000001,1968
9/1/1968,0.5750000000000001,1968
10/1/1968,0.5750000000000001,1968
11/1/1968,0.5760000000000001,1968
12/1/1968,0.5770000000000001,1968
1/1/1969,0.5760000000000001,1969
2/1/1969,0.579,1969
3/1/1969,0.579,1969
4/1/1969,0.579,1969
5/1/1969,0.578,1969
6/1/1969,0.58,1969
7/1/1969,0.58,1969
8/1/1969,0.5810000000000001,1969
9/1/1969,0.5810000000000001,1969
10/1/1969,0.5810000000000001,1969
11/1/1969,0.5810000000000001,1969
12/1/1969,0.5810000000000001,1969
1/1/1970,0.58,1970
2/1/1970,0.579,1970
3/1/1970,0.579,1970
4/1/1970,0.579,1970
5/1/1970,0.5750000000000001,1970
6/1/1970,0.573,1970
7/1/1970,0.574,1970
8/1/1970,0.5720000000000001,1970
9/1/1970,0.5700000000000001,1970
10/1/1970,0.5700000000000001,1970
11/1/1970,0.569,1970
12/1/1970,0.5670000000000001,1970
1/1/1971,0.568,1971
2/1/1971,0.5660000000000001,1971
