country,year,value
australia,2000,1636.528564
australia,2001,1559.821289
australia,2002,1763.695679
australia,2003,2240.746094
australia,2004,2760.830811
australia,2005,3014.104736
australia,2006,3194.030762
australia,2007,3815.336426
australia,2008,4107.012695
australia,2009,4011.932617
australia,2010,4975.470703
australia,2011,5909.149902
australia,2012,6071.650879
australia,2013,5843.173828
australia,2014,6130.998535
australia,2015,5322.971191
australia,2016,5453.924805
australia,2017,5813.61377
australia,2018,5857.288086
australia,2019,5545.910645
australia,2020,5958.765625
australia,2021,7055.368164
canada,2000,2001.668701
canada,2001,2055.759521
canada,2002,2149.379395
canada,2003,2552.263916
canada,2004,2916.251221
canada,2005,3291.220703
canada,2006,3788.686035
canada,2007,4221.928711
canada,2008,4491.229004
canada,2009,4368.856934
canada,2010,5083.981934
canada,2011,5423.059082
canada,2012,5538.935547
canada,2013,5483.255859
canada,2014,5231.736328
canada,2015,4677.830078
canada,2016,4667.703125
canada,2017,4920.728516
canada,2018,5080.323242
canada,2019,5115.976074
canada,2020,5668.347656
canada,2021,6470.067871
canada,2022,6207.181641
china,2000,42.99362183
china,2001,44.56903839
china,2002,50.15548325
china,2003,56.79228973
china,2004,64.54340363
china,2005,73.29019928
china,2006,82.79460144
china,2007,98.87766266
china,2008,134.2076416
china,2009,165.2944489
china,2010,189.3437042
china,2011,239.7543335
china,2012,285.31427
china,2013,329.7810669
china,2014,363.0093994
china,2015,393.7799072
china,2016,398.7892151
china,2017,440.588501
china,2018,504.7997437
china,2019,539.6194458
china,2020,583.4321899
china,2021,670.5145874
costa rica,2000,247.701889
costa rica,2001,255.182312
costa rica,2002,276.2371216
costa rica,2003,287.3734741
costa rica,2004,290.1335449
costa rica,2005,309.5142822
costa rica,2006,359.7924805
costa rica,2007,423.6381226
costa rica,2008,510.9915466
costa rica,2009,529.6087036
costa rica,2010,654.1734009
costa rica,2011,742.1419067
costa rica,2012,776.4348755
costa rica,2013,816.8787231
costa rica,2014,822.9100342
costa rica,2015,875.3497315
costa rica,2016,870.7384033
costa rica,2017,853.7504883
costa rica,2018,902.2211914
costa rica,2019,914.8847046
costa rica,2020,953.0825195
costa rica,2021,948.9216309
denmark,2000,2496.0
denmark,2001,2603.0
denmark,2002,2896.0
denmark,2003,3607.0
denmark,2004,4195.0
denmark,2005,4443.0
denmark,2006,4779.0
denmark,2007,5468.0
denmark,2008,6138.0
denmark,2009,6222.0
denmark,2010,6171.0
denmark,2011,6438.0
denmark,2012,6168.0
denmark,2013,6334.0
denmark,2014,6467.0
denmark,2015,5532.0
denmark,2016,5624.0
denmark,2017,5834.0
denmark,2018,6233.0
denmark,2019,6059.0
denmark,2020,6442.0
denmark,2021,7382.0
denmark,2022,6332.0
europe,2000,2254.5635578333336
europe,2001,2318.8437093333337
europe,2002,2676.6477865
europe,2003,3292.4742431666673
europe,2004,3774.8281656666672
europe,2005,3987.3913573333334
europe,2006,4253.506225666667
europe,2007,4878.8076986666665
europe,2008,5354.141601666667
europe,2009,5110.295654333334
europe,2010,5207.962036166667
europe,2011,5922.993652333334
europe,2012,5808.638427666666
europe,2013,6058.874104833333
europe,2014,6132.095865833333
europe,2015,5243.440022666667
europe,2016,5197.5179849999995
europe,2017,5340.902221666666
europe,2018,5654.197509666667
europe,2019,5492.0270181666665
europe,2020,5777.946696
europe,2021,6675.559977166667
europe,2022,6535.9090575
finland,2000,1727.0
finland,2001,1810.0
finland,2002,2059.0
finland,2003,2614.0
finland,2004,3044.0
finland,2005,3237.0
finland,2006,3415.0
finland,2007,3919.0
finland,2008,4486.0
finland,2009,4350.0
finland,2010,4252.0
finland,2011,4718.0
finland,2012,4573.0
finland,2013,4892.0
finland,2014,4923.0
finland,2015,4128.0
finland,2016,4109.0
finland,2017,4236.0
finland,2018,4522.0
finland,2019,4460.0
finland,2020,4736.0
finland,2021,5488.0
france,2000,2161.853027
france,2001,2192.715576
france,2002,2449.758301
france,2003,3006.305908
france,2004,3458.627441
