country,year,value
australia,1949,25.32
australia,1950,24.95
australia,1951,24.55
australia,1952,24.09
australia,1953,23.57
australia,1954,23.03
australia,1955,22.51
australia,1956,22.03
australia,1957,21.6
australia,1958,21.17
australia,1959,20.77
australia,1960,20.37
australia,1961,19.96
australia,1962,19.54
australia,1963,19.14
australia,1964,18.8
australia,1965,18.53
australia,1966,18.36
australia,1967,18.26
australia,1968,18.2
australia,1969,18.11
australia,1970,17.87
australia,1971,17.47
australia,1972,16.9
australia,1973,16.17
australia,1974,15.32
australia,1975,14.41
australia,1976,13.49
australia,1977,12.65
australia,1978,11.92
australia,1979,11.3
australia,1980,10.8
australia,1981,10.4
australia,1982,10.08
australia,1983,9.82
australia,1984,9.58
australia,1985,9.34
australia,1986,9.06
australia,1987,8.75
australia,1988,8.4
australia,1989,8.0
australia,1990,7.57
australia,1991,7.12
australia,1992,6.7
australia,1993,6.32
australia,1994,6.0
australia,1995,5.75
australia,1996,5.56
australia,1997,5.41
australia,1998,5.3
australia,1999,5.2
australia,2000,5.1
australia,2001,5.02
australia,2002,4.95
australia,2003,4.9
australia,2004,4.84
australia,2005,4.76
australia,2006,4.65
australia,2007,4.52
australia,2008,4.36
australia,2009,4.19
australia,2010,4.0
australia,2011,3.81
australia,2012,3.63
australia,2013,3.48
australia,2014,3.36
australia,2015,3.28
australia,2016,3.24
australia,2017,3.22
australia,2018,3.22
australia,2019,3.22
australia,2020,3.21
australia,2021,3.2
australia,2022,3.17
australia,2023,3.14
canada,1949,43.24
canada,1950,41.09
canada,1951,39.06
canada,1952,37.16
canada,1953,35.44
canada,1954,33.95
canada,1955,32.65
canada,1956,31.52
canada,1957,30.52
canada,1958,29.59
canada,1959,28.69
canada,1960,27.82
canada,1961,26.93
canada,1962,26.01
canada,1963,25.05
canada,1964,24.07
canada,1965,23.09
canada,1966,22.13
canada,1967,21.2
canada,1968,20.3
canada,1969,19.42
canada,1970,18.53
canada,1971,17.64
canada,1972,16.74
canada,1973,15.86
canada,1974,14.99
canada,1975,14.13
canada,1976,13.3
canada,1977,12.5
canada,1978,11.73
canada,1979,11.0
canada,1980,10.33
canada,1981,9.72
canada,1982,9.18
canada,1983,8.72
canada,1984,8.33
canada,1985,8.01
canada,1986,7.74
canada,1987,7.49
canada,1988,7.27
canada,1989,7.04
canada,1990,6.8
canada,1991,6.58
canada,1992,6.36
canada,1993,6.15
canada,1994,5.96
canada,1995,5.78
canada,1996,5.62
canada,1997,5.48
canada,1998,5.38
canada,1999,5.31
canada,2000,5.27
canada,2001,5.26
canada,2002,5.27
canada,2003,5.27
canada,2004,5.26
canada,2005,5.24
canada,2006,5.2
canada,2007,5.15
canada,2008,5.09
canada,2009,5.03
canada,2010,4.97
canada,2011,4.91
canada,2012,4.84
canada,2013,4.78
canada,2014,4.72
canada,2015,4.66
canada,2016,4.61
canada,2017,4.56
canada,2018,4.53
canada,2019,4.5
canada,2020,4.47
canada,2021,4.46
canada,2022,4.45
canada,2023,4.43
china,1969,88.53
china,1970,84.31
china,1971,80.34
china,1972,76.45
china,1973,72.54
china,1974,68.61
china,1975,64.71
china,1976,60.91
china,1977,57.31
china,1978,54.03
china,1979,51.2
china,1980,48.79
china,1981,46.81
china,1982,45.28
china,1983,44.14
china,1984,43.42
china,1985,43.05
china,1986,42.98
china,1987,43.09
china,1988,43.27
china,1989,43.35
china,1990,43.26
china,1991,42.95
china,1992,42.27
china,1993,41.27
china,1994,40.08
china,1995,38.67
china,1996,37.17
china,1997,35.56
china,1998,33.83
china,1999,31.95
china,2000,29.96
china,2001,27.83
china,2002,25.65
china,2003,23.45
china,2004,21.34
china,2005,19.4
china,2006,17.66
china,2007,16.11
china,2008,14.75
china,2009,13.55
china,2010,12.46
china,2011,11.45
china,2012,10.54
china,2013,9.68
china,2014,8.9
china,2015,8.2
china,2016,7.55
china,2017,6.97
china,2018,6.44
china,2019,5.97
china,2020,5.54
china,2021,5.14
china,2022,4.78
china,2023,4.45
costa rica,1949,91.53
costa rica,1950,91.36
costa rica,1951,91.16
costa rica,1952,90.82
costa rica,1953,90.13
costa rica,1954,89.03
costa rica,1955,87.26
costa rica,1956,84.63
costa rica,1957,81.21
costa rica,1958,77.42
costa rica,1959,73.79
costa rica,1960,70.89
costa rica,1961,69.33
costa rica,1962,69.14
costa rica,1963,69.48
costa rica,1964,69.43
costa rica,1965,68.79
costa rica,1966,67.57
costa rica,1967,65.9
costa rica,1968,63.99
costa rica,1969,61.98
costa rica,1970,59.58
costa rica,1971,56.36
costa rica,1972,52.21
costa rica,1973,47.44
costa rica,1974,42.39
costa rica,1975,37.34
costa rica,1976,32.5
costa rica,1977,28.13
costa rica,1978,24.61
costa rica,1979,22.1
costa rica,1980,20.47
costa rica,1981,19.58
costa rica,1982,19.25
costa rica,1983,19.15
costa rica,1984,19.0
costa rica,1985,18.63
costa rica,1986,17.97
costa rica,1987,17.04
costa rica,1988,16.03
costa rica,1989,15.14
costa rica,1990,14.41
costa rica,1991,13.83
costa rica,1992,13.39
costa rica,1993,13.08
costa rica,1994,12.86
costa rica,1995,12.71
costa rica,1996,12.55
costa rica,1997,12.35
