country,year,value
australia,2000,79.7
australia,2001,80.13
australia,2002,80.19
australia,2003,80.57
australia,2004,80.76
australia,2005,80.84
australia,2006,81.04
australia,2007,81.37
australia,2008,81.32
australia,2009,81.75
australia,2010,81.91
australia,2011,81.93
australia,2012,82.27
australia,2013,82.46
australia,2014,82.37
australia,2015,82.29
australia,2016,82.59
australia,2017,82.68
australia,2018,83.02
australia,2019,82.64
australia,2020,83.37
australia,2021,83.1
canada,2000,79.09
canada,2001,79.31
canada,2002,79.42
canada,2003,79.58
canada,2004,79.85
canada,2005,79.95
canada,2006,80.37
canada,2007,80.38
canada,2008,80.56
canada,2009,80.88
canada,2010,81.14
canada,2011,81.4
canada,2012,81.49
canada,2013,81.56
canada,2014,81.59
canada,2015,81.65
canada,2016,81.74
canada,2017,81.71
canada,2018,81.73
canada,2019,82.02
canada,2020,81.3
canada,2021,81.58
china,2000,70.84
china,2001,71.13
china,2002,71.45
china,2003,71.69
china,2004,71.93
china,2005,72.44
china,2006,73.29
china,2007,73.84
china,2008,74.0
china,2009,74.39
china,2010,74.65
china,2011,75.04
china,2012,75.48
china,2013,75.84
china,2014,76.2
china,2015,76.51
china,2016,76.72
china,2017,76.95
china,2018,77.14
china,2019,77.31
china,2020,77.48
china,2021,77.62
costa rica,2000,78.17
costa rica,2001,78.07
costa rica,2002,78.86
costa rica,2003,78.71
costa rica,2004,78.68
costa rica,2005,79.72
costa rica,2006,79.36
costa rica,2007,80.23
costa rica,2008,80.29
costa rica,2009,80.61
costa rica,2010,79.51
costa rica,2011,80.26
costa rica,2012,80.42
costa rica,2013,80.6
costa rica,2014,80.48
costa rica,2015,80.57
costa rica,2016,80.11
costa rica,2017,80.2
costa rica,2018,80.29
costa rica,2019,80.3
costa rica,2020,79.99
costa rica,2021,78.63
denmark,2000,76.93
denmark,2001,77.04
denmark,2002,77.03
denmark,2003,77.32
denmark,2004,77.69
denmark,2005,78.13
denmark,2006,78.19
denmark,2007,78.3
denmark,2008,78.64
denmark,2009,78.88
denmark,2010,79.17
denmark,2011,79.69
denmark,2012,79.97
denmark,2013,80.16
denmark,2014,80.51
denmark,2015,80.59
denmark,2016,80.71
denmark,2017,80.94
denmark,2018,80.82
denmark,2019,81.28
denmark,2020,81.37
denmark,2021,81.18
europe,2000,78.23333333333333
europe,2001,78.40666666666667
europe,2002,78.5
europe,2003,78.73
europe,2004,79.21166666666667
europe,2005,79.415
europe,2006,79.68166666666667
europe,2007,79.81833333333334
europe,2008,80.00833333333334
europe,2009,80.25999999999999
europe,2010,80.44666666666667
europe,2011,80.77999999999999
europe,2012,80.87833333333333
europe,2013,81.07000000000001
europe,2014,81.38833333333334
europe,2015,81.34833333333334
europe,2016,81.48166666666667
europe,2017,81.62666666666667
europe,2018,81.645
europe,2019,82.00833333333333
europe,2020,81.64
europe,2021,81.71166666666666
finland,2000,77.59
finland,2001,78.02
finland,2002,78.13
finland,2003,78.41
finland,2004,78.73
finland,2005,78.98
finland,2006,79.23
finland,2007,79.27
finland,2008,79.58
finland,2009,79.71
finland,2010,79.87
finland,2011,80.28
finland,2012,80.38
finland,2013,80.68
finland,2014,80.87
finland,2015,81.2
finland,2016,81.12
finland,2017,81.32
finland,2018,81.41
finland,2019,81.65
finland,2020,81.54
finland,2021,81.53
france,2000,78.91
france,2001,79.01
france,2002,79.14
france,2003,79.09
france,2004,80.0
france,2005,80.0
france,2006,80.53
france,2007,80.8
france,2008,80.87
france,2009,81.04
france,2010,81.22
france,2011,81.58
france,2012,81.58
france,2013,81.82
france,2014,82.25
france,2015,81.91
france,2016,82.13
france,2017,82.17
france,2018,82.38
france,2019,82.53
france,2020,81.87
france,2021,81.92
japan,2000,81.53
japan,2001,81.84
japan,2002,82.1
japan,2003,82.14
japan,2004,82.37
japan,2005,82.24
japan,2006,82.59
japan,2007,82.76
japan,2008,82.83
japan,2009,83.16
japan,2010,83.08
japan,2011,82.83
japan,2012,83.33
japan,2013,83.56
japan,2014,83.79
japan,2015,84.0
japan,2016,84.16
japan,2017,84.26
japan,2018,84.35
japan,2019,84.47
japan,2020,84.66
japan,2021,84.46
mexico,2000,74.22
mexico,2001,74.55
mexico,2002,74.59
mexico,2003,74.63
mexico,2004,75.04
mexico,2005,74.93
mexico,2006,75.34
mexico,2007,75.52
mexico,2008,75.09
mexico,2009,75.14
mexico,2010,74.95
mexico,2011,75.43
mexico,2012,75.64
mexico,2013,75.93
mexico,2014,75.91
mexico,2015,75.94
mexico,2016,75.76
mexico,2017,75.87
mexico,2018,75.92
mexico,2019,75.83
mexico,2020,70.95
mexico,2021,70.83
new zealand,2000,78.58
new zealand,2001,78.47
new zealand,2002,78.66
new zealand,2003,79.06
new zealand,2004,79.15
new zealand,2005,79.94
new zealand,2006,79.89
new zealand,2007,80.04
new zealand,2008,80.31
new zealand,2009,80.56
new zealand,2010,80.94
new zealand,2011,80.75
new zealand,2012,81.09
new zealand,2013,81.36
new zealand,2014,81.19
new zealand,2015,81.31
new zealand,2016,81.73
new zealand,2017,81.16
new zealand,2018,81.76
new zealand,2019,81.81
new zealand,2020,82.5
new zealand,2021,82.2
norway,2000,78.54
norway,2001,78.75
norway,2002,78.86
norway,2003,79.4
norway,2004,79.82
norway,2005,80.05
norway,2006,80.28
norway,2007,80.35
norway,2008,80.49
norway,2009,80.75
norway,2010,80.87
norway,2011,80.97
norway,2012,81.23
norway,2013,81.43
norway,2014,81.83
norway,2015,81.99
norway,2016,82.11
norway,2017,82.33
norway,2018,82.44
norway,2019,82.66
norway,2020,82.84
norway,2021,82.88
sweden,2000,79.57
sweden,2001,79.67
sweden,2002,79.76
sweden,2003,80.01
sweden,2004,80.35
sweden,2005,80.42
sweden,2006,80.63
sweden,2007,80.77
sweden,2008,80.93
sweden,2009,81.15
sweden,2010,81.3
sweden,2011,81.52
sweden,2012,81.47
sweden,2013,81.64
sweden,2014,81.93
sweden,2015,81.74
sweden,2016,82.01
sweden,2017,82.08
sweden,2018,82.2
sweden,2019,82.71
sweden,2020,82.08
sweden,2021,82.66
united kingdom,2000,77.86
united kingdom,2001,77.95
united kingdom,2002,78.08
united kingdom,2003,78.15
united kingdom,2004,78.68
united kingdom,2005,78.91
united kingdom,2006,79.23
united kingdom,2007,79.42
united kingdom,2008,79.54
united kingdom,2009,80.03
united kingdom,2010,80.25
united kingdom,2011,80.64
united kingdom,2012,80.64
united kingdom,2013,80.69
united kingdom,2014,80.94
united kingdom,2015,80.66
united kingdom,2016,80.81
united kingdom,2017,80.92
united kingdom,2018,80.62
united kingdom,2019,81.22
united kingdom,2020,80.14
united kingdom,2021,80.1
united states,2000,76.66
united states,2001,76.75
united states,2002,76.85
united states,2003,76.99
united states,2004,77.4
united states,2005,77.38
united states,2006,77.68
united states,2007,77.94
united states,2008,78.05
united states,2009,78.42
united states,2010,78.61
united states,2011,78.65
united states,2012,78.77
united states,2013,78.76
united states,2014,78.8
united states,2015,78.61
united states,2016,78.56
united states,2017,78.5
united states,2018,78.63
united states,2019,78.74
united states,2020,76.89
united states,2021,76.37
