country,year,value
australia,1985,21.43
australia,1986,20.7
australia,1987,21.26
australia,1988,21.62
australia,1989,22.57
australia,1990,23.05
australia,1991,23.16
australia,1992,23.5
australia,1993,22.76
australia,1994,22.83
australia,1995,21.82
australia,1996,20.42
australia,1997,20.03
australia,1998,18.54
australia,1999,17.68
australia,2000,16.51
australia,2001,14.29
australia,2002,13.81
australia,2003,13.65
australia,2004,13.07
australia,2005,12.79
australia,2006,13.34
australia,2007,14.67
australia,2008,14.87
australia,2009,16.0
australia,2010,16.27
australia,2011,17.56
australia,2012,17.91
australia,2013,18.1
australia,2014,17.95
australia,2015,18.03
australia,2016,18.36
australia,2017,17.34
australia,2018,16.81
australia,2019,16.16
australia,2020,15.17
australia,2021,13.16
australia,2022,10.91
australia,2023,7.1
canada,1985,26.99
canada,1986,26.64
canada,1987,25.87
canada,1988,26.82
canada,1989,29.52
canada,1990,30.08
canada,1991,31.34
canada,1992,31.21
canada,1993,31.54
canada,1994,31.07
canada,1995,31.45
canada,1996,31.47
canada,1997,29.49
canada,1998,29.41
canada,1999,29.84
canada,2000,29.63
canada,2001,31.83
canada,2002,32.86
canada,2003,34.37
canada,2004,34.87
canada,2005,38.3
canada,2006,39.75
canada,2007,41.86
canada,2008,44.89
canada,2009,45.84
canada,2010,43.01
canada,2011,42.94
canada,2012,43.92
canada,2013,42.64
canada,2014,44.45
canada,2015,43.5
canada,2016,46.04
canada,2017,46.35
canada,2018,47.08
canada,2019,45.67
canada,2020,60.32
canada,2021,50.22
canada,2022,51.91
canada,2023,42.04
china,1985,30261.0
china,1986,31174.0
china,1987,31485.0
china,1988,28456.0
china,1989,28201.0
china,1990,28532.0
china,1991,20863.0
china,1992,18147.0
china,1993,16205.0
china,1994,14895.0
china,1995,13501.0
china,1996,12218.0
china,1997,11149.0
china,1998,10336.0
china,1999,9712.0
china,2000,9771.0
china,2001,8689.0
china,2002,8153.0
china,2003,7633.0
china,2004,7350.0
china,2005,6968.0
china,2006,6682.0
china,2007,6465.0
china,2008,6726.0
china,2009,6251.0
china,2010,6029.0
china,2011,5794.0
china,2012,6102.0
china,2013,5450.0
china,2014,5277.0
china,2015,4581.0
china,2016,4542.0
china,2017,4325.0
china,2018,3372.0
china,2019,3081.0
china,2020,2348.0
china,2021,2190.0
china,2022,1730.0
china,2023,1446.0
costa rica,1985,35.49
costa rica,1986,35.68
costa rica,1987,34.6
costa rica,1988,33.96
costa rica,1989,33.63
costa rica,1990,33.32
costa rica,1991,32.42
costa rica,1992,31.66
costa rica,1993,31.71
costa rica,1994,31.52
costa rica,1995,31.38
costa rica,1996,31.22
costa rica,1997,30.05
costa rica,1998,29.59
costa rica,1999,28.73
costa rica,2000,28.31
costa rica,2001,27.48
costa rica,2002,25.19
costa rica,2003,24.16
costa rica,2004,23.65
costa rica,2005,22.94
costa rica,2006,21.37
costa rica,2007,22.05
costa rica,2008,22.35
costa rica,2009,21.55
costa rica,2010,20.24
costa rica,2011,20.66
costa rica,2012,19.8
costa rica,2013,18.52
costa rica,2014,18.81
costa rica,2015,18.1
costa rica,2016,18.66
costa rica,2017,18.32
costa rica,2018,19.16
costa rica,2019,16.29
costa rica,2020,19.5
costa rica,2021,23.45
costa rica,2022,14.38
costa rica,2023,12.53
denmark,1985,6.51
denmark,1986,6.68
denmark,1987,6.64
denmark,1988,7.41
denmark,1989,7.84
denmark,1990,7.7
denmark,1991,7.68
denmark,1992,8.09
denmark,1993,7.96
denmark,1994,8.23
denmark,1995,8.27
denmark,1996,7.36
denmark,1997,7.06
denmark,1998,6.14
denmark,1999,6.25
denmark,2000,5.88
denmark,2001,5.72
denmark,2002,5.56
denmark,2003,5.35
denmark,2004,5.2
denmark,2005,4.81
denmark,2006,4.66
denmark,2007,4.77
denmark,2008,4.72
denmark,2009,4.39
denmark,2010,4.18
denmark,2011,3.68
denmark,2012,3.33
denmark,2013,2.98
denmark,2014,3.06
denmark,2015,2.89
denmark,2016,3.15
denmark,2017,2.84
denmark,2018,2.86
denmark,2019,2.59
denmark,2020,2.49
denmark,2021,4.86
denmark,2022,3.23
denmark,2023,2.12
europe,1985,13.12
europe,1986,16.43
europe,1987,22.64
europe,1988,31.33
europe,1989,40.06
europe,1990,48.26
europe,1991,53.04
europe,1992,56.11
europe,1993,60.18
europe,1994,64.08
europe,1995,63.35
europe,1996,61.07
europe,1997,62.56
europe,1998,69.15
europe,1999,77.09
europe,2000,82.41
europe,2001,84.63
europe,2002,89.35
europe,2003,95.12
europe,2004,94.49
europe,2005,89.67
europe,2006,88.62
europe,2007,86.7
europe,2008,88.69
europe,2009,84.28
europe,2010,82.95
europe,2011,78.82
europe,2012,72.96
europe,2013,68.39
europe,2014,70.02
europe,2015,71.31
europe,2016,73.06
europe,2017,69.25
europe,2018,68.62
europe,2019,64.9
europe,2020,93.05
europe,2021,89.53
europe,2022,104.5
europe,2023,57.18
finland,1985,4.14
finland,1986,4.57
finland,1987,4.4
finland,1988,4.81
finland,1989,4.96
finland,1990,5.25
