country,year,value
australia,2000,12.83
australia,2001,13.04
australia,2002,12.15
australia,2003,11.08
australia,2004,10.79
australia,2005,11.67
australia,2006,11.21
australia,2007,11.5
australia,2008,12.1
australia,2009,11.65
australia,2010,12.13
australia,2011,11.57
australia,2012,12.16
australia,2013,11.92
australia,2014,13.09
australia,2015,13.64
australia,2016,12.5
australia,2017,13.9
australia,2018,13.4
australia,2019,13.98
australia,2020,13.03
australia,2021,13.08
canada,2000,12.45
canada,2001,12.78
canada,2002,12.45
canada,2003,13.09
canada,2004,12.39
canada,2005,12.87
canada,2006,11.86
canada,2007,12.18
canada,2008,12.34
canada,2009,12.83
canada,2010,12.89
canada,2011,12.02
canada,2012,12.6
canada,2013,12.86
canada,2014,13.38
canada,2015,13.43
canada,2016,11.49
canada,2017,11.82
canada,2018,12.56
canada,2019,12.69
canada,2020,11.64
canada,2021,9.44
china,2000,15.49
china,2001,15.14
china,2002,14.93
china,2003,15.02
china,2004,15.01
china,2005,14.23
china,2006,13.02
china,2007,12.18
china,2008,11.61
china,2009,11.1
china,2010,10.58
china,2011,9.97
china,2012,9.41
china,2013,9.07
china,2014,8.86
china,2015,8.69
china,2016,8.65
china,2017,8.62
china,2018,8.7
china,2019,8.75
china,2020,8.82
china,2021,8.95
costa rica,2000,5.97
costa rica,2001,4.86
costa rica,2002,6.53
costa rica,2003,7.36
costa rica,2004,7.63
costa rica,2005,6.23
costa rica,2006,7.95
costa rica,2007,5.5
costa rica,2008,5.36
costa rica,2009,5.51
costa rica,2010,6.52
costa rica,2011,6.52
costa rica,2012,6.22
costa rica,2013,6.4
costa rica,2014,5.36
costa rica,2015,6.37
costa rica,2016,6.83
costa rica,2017,5.58
costa rica,2018,7.53
costa rica,2019,7.06
costa rica,2020,6.36
costa rica,2021,8.06
denmark,2000,15.54
denmark,2001,15.78
denmark,2002,14.97
denmark,2003,13.68
denmark,2004,14.37
denmark,2005,14.7
denmark,2006,14.68
denmark,2007,12.74
denmark,2008,13.06
denmark,2009,12.71
denmark,2010,11.69
denmark,2011,12.43
denmark,2012,12.84
denmark,2013,12.06
denmark,2014,11.97
denmark,2015,11.03
denmark,2016,10.82
denmark,2017,11.18
denmark,2018,11.2
denmark,2019,11.42
denmark,2020,10.9
denmark,2021,10.46
europe,2000,8.51
europe,2001,8.23
europe,2002,8.27
europe,2003,7.99
europe,2004,8.2
europe,2005,7.9
europe,2006,7.83
europe,2007,7.54
europe,2008,8.05
europe,2009,7.94
europe,2010,7.8
europe,2011,8.33
europe,2012,8.27
europe,2013,8.74
europe,2014,8.45
europe,2015,8.62
europe,2016,8.25
europe,2017,7.98
europe,2018,9.16
europe,2019,9.39
europe,2020,8.9
europe,2021,9.55
finland,2000,24.13
finland,2001,24.31
finland,2002,22.16
finland,2003,21.85
finland,2004,21.31
finland,2005,19.96
finland,2006,21.1
finland,2007,19.68
finland,2008,20.56
finland,2009,20.33
finland,2010,18.63
finland,2011,17.74
finland,2012,16.85
finland,2013,17.2
finland,2014,15.52
finland,2015,14.09
finland,2016,15.29
finland,2017,15.71
finland,2018,15.67
finland,2019,14.38
finland,2020,14.14
finland,2021,14.57
france,2000,20.32
france,2001,19.57
france,2002,19.9
france,2003,20.18
france,2004,19.53
france,2005,19.17
france,2006,18.46
