year,race,race_multiplier
2023,ALL RACES,1.0
2022,ALL RACES,1.0
2021,ALL RACES,1.0
2020,ALL RACES,1.0
2019,ALL RACES,1.0
2018,ALL RACES,1.0
2017,ALL RACES,1.0
2017,ALL RACES,1.0170616113744075
2017,ALL RACES,0.983224603914259
2017,ALL RACES,1.0
2016,ALL RACES,1.0
2015,ALL RACES,1.0
2014,ALL RACES,1.0
2013,ALL RACES,1.0
2013,ALL RACES,1.0351389339388042
2013,ALL RACES,0.9660538959682473
2013,ALL RACES,1.0
2012,ALL RACES,1.0
2011,ALL RACES,1.0
2010,ALL RACES,1.0
2009,ALL RACES,1.0
2008,ALL RACES,1.0
2007,ALL RACES,1.0
2006,ALL RACES,1.0
2005,ALL RACES,1.0
2004,ALL RACES,1.0
2003,ALL RACES,1.0
2002,ALL RACES,1.0
2001,ALL RACES,1.0
2000,ALL RACES,1.0
1999,ALL RACES,1.0
1998,ALL RACES,1.0
1997,ALL RACES,1.0
1996,ALL RACES,1.0
1995,ALL RACES,1.0
1994,ALL RACES,1.0
1993,ALL RACES,1.0
1992,ALL RACES,1.0
1991,ALL RACES,1.0
1990,ALL RACES,1.0
1989,ALL RACES,1.0
1988,ALL RACES,1.0
1987,ALL RACES,1.0
1986,ALL RACES,1.0
1985,ALL RACES,1.0
1984,ALL RACES,1.0
1983,ALL RACES,1.0
1982,ALL RACES,1.0
1981,ALL RACES,1.0
1980,ALL RACES,1.0
1979,ALL RACES,1.0
1978,ALL RACES,1.0
1977,ALL RACES,1.0
1976,ALL RACES,1.0
1975,ALL RACES,1.0
1974,ALL RACES,1.0
1973,ALL RACES,1.0
1972,ALL RACES,1.0
1971,ALL RACES,1.0
1970,ALL RACES,1.0
1969,ALL RACES,1.0
1968,ALL RACES,1.0
1967,ALL RACES,1.0
2023,WHITE,1.0305676855895196
2022,WHITE,1.027124773960217
2021,WHITE,1.0340314136125655
2020,WHITE,1.0315789473684212
2019,WHITE,1.0379637618636757
2018,WHITE,1.0435185185185185
2017,WHITE,1.0438024231127678
2017,WHITE,1.061611374407583
2017,WHITE,1.0223671947809878
2017,WHITE,1.0398104265402843
2016,WHITE,1.038647342995169
2015,WHITE,1.0373568989756978
2014,WHITE,1.0415439629785443
2013,WHITE,1.034990599540422
2013,WHITE,1.071359065844956
2013,WHITE,1.0085648631710884
2013,WHITE,1.0440047572710562
2012,WHITE,1.0440936309199782
2011,WHITE,1.0450174825174825
2010,WHITE,1.0448120959789635
2009,WHITE,1.0378268324046291
2008,WHITE,1.040401881145789
2007,WHITE,1.0401711185308848
2006,WHITE,1.0384376937383757
2005,WHITE,1.0412577819985227
2004,WHITE,1.040395358831113
2003,WHITE,1.0427038626609442
2002,WHITE,1.0400257538362485
2001,WHITE,1.0396081323080164
2000,WHITE,1.037048698572628
1999,WHITE,1.0363232023721276
1998,WHITE,1.0453400503778338
1997,WHITE,1.0445371518773254
1996,WHITE,1.0396927016645328
1995,WHITE,1.039838268521822
1994,WHITE,1.0440571290244494
1993,WHITE,1.0448883956098163
1992,WHITE,1.0451803362854575
1991,WHITE,1.0421794871794872
1990,WHITE,1.0402608804715916
1989,WHITE,1.0416513536689942
1988,WHITE,1.0427113518961824
1987,WHITE,1.0427186942106605
1986,WHITE,1.0417208214192877
1985,WHITE,1.0411366711772665
1984,WHITE,1.0412742382271467
1983,WHITE,1.0413912043690716
1982,WHITE,1.0412222542519458
1981,WHITE,1.0419022763520371
1980,WHITE,1.0403780068728523
1979,WHITE,1.0394499236005001
1978,WHITE,1.036938575626137
1977,WHITE,1.03908841771239
1976,WHITE,1.0384390529085064
1975,WHITE,1.036837376460018
1974,WHITE,1.037096304917079
1973,WHITE,1.0386590584878745
1972,WHITE,1.038806834636548
1971,WHITE,1.0360950350289369
1970,WHITE,1.034880194115863
1969,WHITE,1.037126837399606
1968,WHITE,1.0359518530250238
1967,WHITE,1.0365853658536586
2023,"WHITE, NOT HISPANIC",1.0777292576419213
2022,"WHITE, NOT HISPANIC",1.0714285714285714
2021,"WHITE, NOT HISPANIC",1.0820244328097732
2020,"WHITE, NOT HISPANIC",1.081578947368421
2019,"WHITE, NOT HISPANIC",1.088006902502157
2018,"WHITE, NOT HISPANIC",1.0916666666666666
2017,"WHITE, NOT HISPANIC",1.092264678471575
2017,"WHITE, NOT HISPANIC",1.1109004739336492
2017,"WHITE, NOT HISPANIC",1.0661696178937559
2017,"WHITE, NOT HISPANIC",1.0843601895734598
2016,"WHITE, NOT HISPANIC",1.0801932367149758
2015,"WHITE, NOT HISPANIC",1.0795340429805182
2014,"WHITE, NOT HISPANIC",1.088557004627682
2013,"WHITE, NOT HISPANIC",1.0800083559640694
2013,"WHITE, NOT HISPANIC",1.1179586982376473
2013,"WHITE, NOT HISPANIC",1.0549404637560058
2013,"WHITE, NOT HISPANIC",1.0920099470212996
2012,"WHITE, NOT HISPANIC",1.0919978225367446
2011,"WHITE, NOT HISPANIC",1.091673951048951
2010,"WHITE, NOT HISPANIC",1.088090281582119
2009,"WHITE, NOT HISPANIC",1.076939562794685
2008,"WHITE, NOT HISPANIC",1.082727661393758
2007,"WHITE, NOT HISPANIC",1.0820116861435727
2006,"WHITE, NOT HISPANIC",1.0777020045463939
2005,"WHITE, NOT HISPANIC",1.0826210826210827
2004,"WHITE, NOT HISPANIC",1.0797163730124624
2003,"WHITE, NOT HISPANIC",1.0815450643776825
2002,"WHITE, NOT HISPANIC",1.0741495868655435
2001,"WHITE, NOT HISPANIC",1.0723691140840619
2000,"WHITE, NOT HISPANIC",1.068429890848027
1999,"WHITE, NOT HISPANIC",1.0706343323096474
1998,"WHITE, NOT HISPANIC",1.0788522615266674
1997,"WHITE, NOT HISPANIC",1.078024579997745
1996,"WHITE, NOT HISPANIC",1.0712373414037946
1995,"WHITE, NOT HISPANIC",1.073849447021049
1994,"WHITE, NOT HISPANIC",1.0706850641491164
1993,"WHITE, NOT HISPANIC",1.0723887039092366
1992,"WHITE, NOT HISPANIC",1.0717494544987807
1991,"WHITE, NOT HISPANIC",1.0646153846153845
1990,"WHITE, NOT HISPANIC",1.063338768343158
1989,"WHITE, NOT HISPANIC",1.0624770305034914
1988,"WHITE, NOT HISPANIC",1.0640040317500314
1987,"WHITE, NOT HISPANIC",1.0631216526396328
1986,"WHITE, NOT HISPANIC",1.0623862750194957
1985,"WHITE, NOT HISPANIC",1.061299052774019
