country,year,share_bottom,share_top,share_upper,income_mean_bottom,income_mean_upper,income_mean_top,multiple,income_mean_gap
canada,1820,0.12,0.175,0.705,32339,167003,2031280,62.800000000000004,1998941
canada,1850,0.1289,0.117,0.7541,35430,178634,1358056,38.300000000000004,1322626
canada,1880,0.1262,0.12,0.7538,34492,178563,1392878,40.300000000000004,1358386
canada,1900,0.1241,0.12,0.7559,33763,179060,1392878,41.2,1359115
canada,1910,0.12,0.122,0.758,32339,179558,1416093,43.7,1383754
canada,1920,0.1985,0.1041,0.6974,59604,165202,1208321,20.200000000000003,1148717
canada,1921,0.1634,0.1375,0.6991,47413,165605,1596006,33.6,1548593
canada,1922,0.1911,0.1131,0.6958,57034,164823,1312787,23.0,1255753
canada,1923,0.2081,0.1043,0.6876,62938,162881,1210643,19.200000000000003,1147705
canada,1924,0.2061,0.1054,0.6885000000000001,62244,163094,1223411,19.6,1161167
canada,1925,0.2094,0.0953,0.6953,63390,164705,1106177,17.400000000000002,1042787
canada,1926,0.208,0.1011,0.6909000000000001,62903,163663,1173500,18.6,1110597
canada,1927,0.2063,0.106,0.6877,62313,162905,1230375,19.700000000000003,1168062
canada,1928,0.2037,0.1112,0.6851,61410,162289,1290733,21.0,1229323
canada,1929,0.2024,0.1138,0.6838,60958,161981,1320912,21.6,1259954
canada,1930,0.1981,0.1178,0.6840999999999999,59465,162052,1367342,22.900000000000002,1307877
canada,1931,0.1842,0.1252,0.6906,54637,163592,1453236,26.5,1398599
canada,1932,0.1689,0.1364,0.6947000000000001,49323,164563,1583238,32.0,1533915
canada,1933,0.1623,0.1411,0.6966,47031,165013,1637792,34.800000000000004,1590761
canada,1934,0.1623,0.1411,0.6966,47031,165013,1637792,34.800000000000004,1590761
canada,1935,0.1751,0.1299,0.695,51477,164634,1507790,29.200000000000003,1456313
canada,1936,0.1751,0.1299,0.695,51477,164634,1507790,29.200000000000003,1456313
canada,1937,0.1855,0.1224,0.6921,55089,163947,1420735,25.700000000000003,1365646
canada,1938,0.1685,0.1427,0.6888,49184,163165,1656364,33.6,1607180
canada,1939,0.1792,0.1284,0.6924,52901,164018,1490379,28.1,1437478
canada,1940,0.1929,0.11,0.6971,57659,165131,1276805,22.1,1219146
canada,1941,0.2052,0.0972,0.6976,61931,165250,1128231,18.2,1066300
canada,1942,0.2203,0.081,0.6987000000000001,67176,165510,940192,13.9,873016
canada,1943,0.2214,0.0769,0.7017,67558,166221,892602,13.200000000000001,825044
