country,year,share_top,upper_top_9,upper_middle_40,share_bottom,gap
afghanistan,2008,0.16220001,0.25720001,0.409,0.17170000000000002,-0.009499990000000014
afghanistan,2012,0.13820000000000002,0.2494,0.4225,0.19,-0.051799999999999985
afghanistan,2017,0.15080000999999998,0.2593,0.4121,0.1779,-0.027099990000000018
afghanistan,2022,0.16220001,0.25720001,0.409,0.17170000000000002,-0.009499990000000014
africa (wid),1980,0.2188,0.3669,0.3401,0.074199996,0.144600004
africa (wid),1981,0.21619999,0.36449997000000006,0.3431,0.0762,0.13999999000000002
africa (wid),1982,0.21539999,0.36340000000000006,0.3447,0.076499996,0.13889999400000003
africa (wid),1983,0.2158,0.36449997000000006,0.34340000000000004,0.0763,0.13949999999999999
africa (wid),1984,0.2163,0.36489998,0.34450000000000003,0.07440000000000001,0.14189999999999997
africa (wid),1985,0.2161,0.365,0.3453,0.0736,0.1425
africa (wid),1986,0.21030000000000001,0.36469997,0.3502,0.0748,0.1355
africa (wid),1987,0.2079,0.3628,0.3536,0.0756,0.1323
africa (wid),1988,0.2066,0.3641,0.3543,0.07490000200000001,0.13169999799999998
africa (wid),1989,0.20550001,0.3652,0.35510002,0.074199996,0.13130001400000002
africa (wid),1990,0.2027,0.36590000000000006,0.3575,0.07379999599999999,0.128900004
africa (wid),1991,0.20550001,0.3678,0.35460003,0.072200003,0.133300007
africa (wid),1992,0.2021,0.3697,0.3578,0.0705,0.1316
africa (wid),1993,0.1954,0.36719997,0.36489998,0.0725,0.1229
africa (wid),1994,0.1935,0.3677,0.36710000000000004,0.071800003,0.121699997
africa (wid),1995,0.1918,0.3676,0.36809998,0.0725,0.1193
africa (wid),1996,0.19440000000000002,0.3676,0.36449997000000006,0.0735,0.12090000000000002
africa (wid),1997,0.1988,0.36579998,0.36149998,0.0739,0.12490000000000001
africa (wid),1998,0.20039999000000003,0.36479999999999996,0.3602,0.074600005,0.12579998500000003
africa (wid),1999,0.20670000000000002,0.36399997999999995,0.35450000000000004,0.0748,0.13190000000000002
africa (wid),2000,0.20800001,0.3644,0.35340000000000005,0.074100003,0.13390000700000002
africa (wid),2001,0.20900002,0.36219997,0.35450000000000004,0.0743,0.13470002
africa (wid),2002,0.2091,0.3607,0.3557,0.074600005,0.134499995
africa (wid),2003,0.20920000000000002,0.3619,0.35490000000000005,0.07400000000000001,0.13520000000000001
africa (wid),2004,0.20600000000000002,0.36210000000000003,0.3566,0.0753,0.1307
africa (wid),2005,0.2084,0.36149998,0.3543,0.0757,0.13269999999999998
africa (wid),2006,0.20980000000000001,0.3589,0.355,0.0763,0.1335
africa (wid),2007,0.2122,0.3582,0.35350002,0.0762,0.136
africa (wid),2008,0.20960000999999998,0.35490000000000005,0.358,0.07740000000000001,0.13220000999999998
africa (wid),2009,0.2027,0.35460003,0.36369999999999997,0.078900003,0.123799997
africa (wid),2010,0.19949999,0.3556,0.365,0.0799,0.11959998999999999
africa (wid),2011,0.1974,0.3506,0.36950000000000005,0.0825,0.11489999999999999
africa (wid),2012,0.20329999999999998,0.35340000000000005,0.36229999999999996,0.08110001,0.12219998999999998
africa (wid),2013,0.2009,0.35190002,0.3652,0.08199999999999999,0.1189
africa (wid),2014,0.1999,0.3496,0.3667,0.08380000000000001,0.11609999999999998
africa (wid),2015,0.20070000000000002,0.3482,0.36739998,0.08380000000000001,0.1169
africa (wid),2016,0.19890000000000002,0.34880000000000005,0.36840000000000006,0.08380000000000001,0.11510000000000001
africa (wid),2017,0.19920000000000002,0.34869999999999995,0.3675,0.08470000000000001,0.1145
africa (wid),2018,0.1997,0.3469,0.3676,0.0857,0.11399999999999999
africa (wid),2019,0.1972,0.34750000000000003,0.3691,0.08630000000000002,0.11089999999999997
africa (wid),2020,0.195,0.3458,0.37200000000000005,0.087300005,0.107699995
africa (wid),2021,0.19779999,0.3483,0.3677,0.0862,0.11159999000000001
africa (wid),2022,0.17980000000000002,0.3496,0.38180000000000003,0.08869999999999999,0.09110000000000003
