observation_date,W583RC1A027NBEA
1959-01-01,0.711
1960-01-01,0.761
1961-01-01,0.844
1962-01-01,0.855
1963-01-01,0.922
1964-01-01,1.017
1965-01-01,1.087
1966-01-01,1.171
1967-01-01,1.305
1968-01-01,1.431
1969-01-01,1.627
1970-01-01,1.899
1971-01-01,2.164
1972-01-01,2.487
1973-01-01,2.795
1974-01-01,3.399
1975-01-01,3.998
1976-01-01,4.517
1977-01-01,5.107
1978-01-01,5.771
1979-01-01,6.545
1980-01-01,7.468
1981-01-01,8.521
1982-01-01,9.987
1983-01-01,11.376
1984-01-01,12.987
1985-01-01,15.092
1986-01-01,17.221
1987-01-01,19.487
1988-01-01,22.141
1989-01-01,25.588
1990-01-01,29.338
1991-01-01,32.424
1992-01-01,34.384
1993-01-01,36.589
1994-01-01,40.209
1995-01-01,43.432
1996-01-01,45.755
1997-01-01,48.583
1998-01-01,51.547
1999-01-01,56.388
2000-01-01,60.901
2001-01-01,65.356
2002-01-01,67.539
2003-01-01,67.913
2004-01-01,70.489
2005-01-01,73.621
2006-01-01,78.245
2007-01-01,84.078
2008-01-01,88.969
2009-01-01,88.655
2010-01-01,87.407
2011-01-01,87.233
2012-01-01,86.418
2013-01-01,88.737
2014-01-01,91.957
2015-01-01,94.410
2016-01-01,95.200
2017-01-01,96.738
2018-01-01,100.564
2019-01-01,105.592
2020-01-01,108.333
2021-01-01,110.726
2022-01-01,118.374
2023-01-01,122.106
