,,,Year1  /  Year (copy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2013,2014,2015,2016,2017,2017,2018,2019,2020,2021,2022,2023
In / Out of New Methodology Implemented,In / Out of New Processing Implemented,,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2013,2014,2015,2016,2017,2017,2018,2019,2020,2021,2022,2023
In,Out,Total Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$49,390","$49,740","$51,180","$51,740","$51,370",,,,,,,
,,Total Men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"63,680","63,250","64,340","64,300","63,810",,,,,,,
,,White Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"51,140","50,770","51,780","52,430","52,590",,,,,,,
,,White Men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"64,510","64,050","65,130","65,030","65,480",,,,,,,
,,Black Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"41,320","42,100","45,480","45,110","44,950",,,,,,,
,,Asian Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57,730","58,170","60,890","63,030","62,870",,,,,,,
,,Asian Men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"72,980","71,480","77,870","81,690","82,810",,,,,,,
,,Hispanic Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39,040","38,030","39,080","39,250","39,160",,,,,,,
,,Hispanic Men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"40,850","43,350","44,820","46,510","47,570",,,,,,,
,,"White, non-Hispanic Women",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52,500","52,500","54,100","56,960","56,920",,,,,,,
,,"White, non-Hispanic Men",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"70,210","69,630","71,860","72,130","73,900",,,,,,,
Out,In,Total Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$52,150","$54,100","$55,910","$59,670","$57,360","$54,440","$55,240"
,,Total Men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"63,860","66,330","67,920","71,780","68,510","64,830","66,790"
,,White Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"55,280","54,900","57,740","60,070","57,620","55,230","55,630"
,,White Men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"65,810","67,620","70,940","72,390","69,140","67,700","69,480"
,,Black Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45,280","45,630","48,580","50,570","52,120","51,430","50,470"
,,Asian Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"63,590","66,660","67,150","80,150","71,520","73,390","71,520"
,,Asian Men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"83,050","84,420","89,450","96,490","91,590","90,880","90,830"
,,Hispanic Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39,350","40,230","42,680","45,320","44,240","42,770","43,880"
,,Hispanic Men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"46,020","47,990","49,080","52,700","51,310","49,300","50,120"
,,"White, non-Hispanic Women",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"58,110","58,050","60,670","63,000","61,960","59,530","60,450"
,,"White, non-Hispanic Men",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"73,930","73,870","77,080","78,890","77,530","74,430","75,950"
,Out,Total Women,"$27,560","$27,780","$28,310","$28,830","$29,720","$30,430","$30,510","$31,100","$32,120","$34,410","$35,090","$35,370","$36,120","$36,530","$36,590","$36,370","$37,130","$37,110","$37,690","$37,370","$37,130","$36,320","$37,140","$38,120","$38,860","$39,730","$40,600","$40,920","$41,080","$41,950","$42,250","$42,270","$42,880","$42,570","$42,530","$42,100","$43,230","$44,570","$45,540","$45,400","$45,800","$47,650","$48,650","$48,480","$48,090","$47,660","$47,270","$49,760","$48,880","$49,810","$49,960","$48,750","$48,700","$49,850",,,,,,,,,,,,
