observation_date,amount
1959-01-01,2.064
1960-01-01,2.231
1961-01-01,2.379
1962-01-01,2.523
1963-01-01,2.688
1964-01-01,2.876
1965-01-01,3.120
1966-01-01,3.383
1967-01-01,3.755
1968-01-01,4.552
1969-01-01,4.987
1970-01-01,5.655
1971-01-01,6.580
1972-01-01,7.497
1973-01-01,8.278
1974-01-01,9.264
1975-01-01,10.463
1976-01-01,11.200
1977-01-01,12.233
1978-01-01,13.389
1979-01-01,14.598
1980-01-01,15.970
1981-01-01,17.918
1982-01-01,19.855
1983-01-01,21.507
1984-01-01,23.062
1985-01-01,25.338
1986-01-01,27.079
1987-01-01,28.848
1988-01-01,31.436
1989-01-01,34.477
1990-01-01,37.796
1991-01-01,41.506
1992-01-01,45.565
1993-01-01,49.672
1994-01-01,52.261
1995-01-01,55.138
1996-01-01,59.300
1997-01-01,63.561
1998-01-01,68.798
1999-01-01,74.185
2000-01-01,80.234
2001-01-01,86.538
2002-01-01,94.116
2003-01-01,99.270
2004-01-01,106.627
2005-01-01,112.232
2006-01-01,118.583
2007-01-01,127.976
2008-01-01,139.235
2009-01-01,143.320
2010-01-01,147.112
2011-01-01,148.874
2012-01-01,149.730
2013-01-01,151.500
2014-01-01,156.701
2015-01-01,162.244
2016-01-01,168.164
2017-01-01,174.513
2018-01-01,185.753
2019-01-01,194.419
2020-01-01,202.382
2021-01-01,208.989
2022-01-01,217.620
2023-01-01,233.031
