Cohort,Australia,Canada,Denmark,Finland,France,Japan,Norway,Sweden,UK,US
1903,,,,,,,,,63.5,
1904,,,,,,,,,65.6,
1905,,,,,,,,,68.2,
1906,,,,,,,,,68,
1907,,,,,,,,,69.3,
1908,,,,,,,,,70.6,
1909,,,,,,,,,72.6,
1910,,,,,,,,,68,
1911,,,,,,,,,66.8,
1912,,,,,,,,,67.6,
1913,,,,,,,,,68.3,
1914,,,,,,,,,70.8,
1915,,,,,,,,,61.9,73.4
1916,,,,,,,,,65.4,74.5
1917,,,,,,,,,64.7,78.8
1918,,,,,,,,,70.8,80.9
1919,,,,,,,,,71.5,78.7
1920,,,,,,,,,73.2,77
1921,,,,,,,,,72.9,82.5
1922,,,,,,,,,73.2,82.7
1923,,,,,,,,,73.2,81.5
1924,,,,,,,,,73.1,82.7
1925,,,,,,,,,71.8,83.8
1926,,,,,,,,,72.1,83.9
1927,,,,,,,,,74.5,83.4
1928,,,,,,,,,73.4,83
1929,,,,,,,,,71,82.7
1930,,,,,,,,,74,82.7
1931,,,,,,,,,76.2,85.7
1932,,,,,,,,,80.8,87.7
1933,,,,,,,,,81.7,88.2
1934,,,,,,,,,83.5,87.8
1935,,,,,,,,,83,87.6
1936,,,,,,,,,82,86.8
1937,,,,,,,,,83.4,85.5
1938,,,,,,,,,84.4,85.8
1939,,,,,,,,,82.2,85.7
1940,,,,,,,,,90.8,88.9
1941,,,,,,,,,91.3,90.3
1942,,,,,,,,,92.4,90.7
1943,,,,,,,,,93.8,90.4
1944,,,,,,,,,95.6,90.7
1945,,,,,,,,,93.1,91.3
1946,,,,,,,,,89.6,89.9
1947,,,,,,,,,91.2,96.1
1948,,,,,,,,,90,95.2
1949,,,,,,,,,89.1,94.1
1950,80.7,72.4,84.7,91.5,87.6,94.3,88.2,88.9,80.1,
1951,80,71.4,83,90.9,86.5,92.6,88,87.2,77.6,
1952,80.1,67.6,84,91.6,87.1,92.2,87.4,87.2,73.1,
1953,78.4,68,83.6,92.2,86.1,91.7,87.6,86.8,70.6,
1954,77.2,71.6,84.2,90,85,91.7,88.3,86.5,74.8,
1955,76.1,70.2,85.2,89.9,83.8,91,89.1,85.4,72.2,
1956,75.1,67.5,86.7,90.4,82.4,90,88.8,86,68,
1957,72.7,68.3,84.4,87.7,80.8,87.8,88.3,86.2,71.9,
1958,73.7,69.1,83.4,88.9,80.6,87.5,87.8,86.4,71.7,
1959,74.1,67.3,81.4,89.1,80.9,86,87.7,85.5,73.2,71
1960,73.9,69,81.1,,80,84.5,86.7,83.8,68.1,70
1961,71.2,65.9,80,,79.3,84.2,85.7,,78,65.6
1962,70.7,62.1,79.7,,77.4,86.8,85.6,,76.8,65
1963,69.8,60,79.8,77.8,76,84.6,83.1,72.8,64,63.9
1964,67.8,57.6,78.7,78.7,74.6,82.4,82.4,70.9,63.2,63.5
1965,67.9,58.9,78,77.8,74.1,81.8,82.2,73.3,63.7,61.1
1966,69.1,56.8,78.4,78.9,72.1,79.6,81.9,71.8,62.4,58.4
1967,67.1,57.4,77.3,78.1,71.4,77.7,81,71.4,62.9,58.3
1968,67.5,56.7,76.4,76.3,70.2,73.4,82,72,61.8,57.5
1969,64.9,57.3,75.5,,69.2,70.5,81,70.1,60.2,56.1
1970,64.4,58.2,74.7,,69.6,69.1,78.8,68.4,60.3,56.4
1971,65.8,58.3,74.4,71.9,66,68.3,82.3,71.1,59.8,59.8
1972,65.1,57.9,73.1,70.2,64.7,65,79.4,71.5,59.1,59.5
1973,65.3,56.5,71.7,67.1,63.4,64,77.1,71.9,57.8,57.2
1974,64.6,57.1,74.9,,63.6,60,74.7,71.5,59.5,57.2
1975,63.3,57.7,77.1,68.4,63.2,59.6,69.6,68.2,59.7,57.2
1976,62,56,76.2,67.5,62.4,58.1,79.4,68.2,59.1,55.6
1977,62.9,55.4,74.3,69.5,60.6,57.6,78.7,69.5,57.8,53.2
1978,66.4,55.8,72.8,67.4,59,56.7,80,70.2,57,53.7
1979,63.8,53.6,69.2,,63.8,54.2,77.4,65.4,55,54.4
1980,63.1,55,70.1,,57.4,54.5,,73.8,65.6,60.6
1981,,63.4,58,72.6,,,,,67,61
1982,,63.2,57.1,67.2,,,,,59.9,
1983,,64.3,58.3,66.8,,,,,56.9,
1984,,63.7,58.5,58.6,,,,,,
1985,,62.8,,,,,,,,
1986,,62.9,,,,,,,,
