"","year","value"
"1",1950,9616.4
"2",1951,10011.3
"3",1952,10197.1
"4",1953,10520
"5",1954,11092.8
"6",1955,11641.2
"7",1956,12082.8
"8",1957,12676.9
"9",1958,12864.5
"10",1959,13049.9
"11",1960,14123.6
"12",1961,14713.7
"13",1962,15653.6
"14",1963,16317.2
"15",1964,17244.4
"16",1965,17937.1
"17",1966,18735.5
"18",1967,19388.2
"19",1968,19966
"20",1969,21107.8
"21",1970,22087.8
"22",1971,22941.4
"23",1972,23642.7
"24",1973,24977.8
"25",1974,25719.6
"26",1975,24931.6
"27",1976,25625.4
"28",1977,26169.7
"29",1978,26692.9
"30",1979,27530.8
"31",1980,27676.9
"32",1981,27595
"33",1982,27768.3
"34",1983,27646.5
"35",1984,27736.8
"36",1985,28060.6
"37",1986,28545.6
"38",1987,29018.5
"39",1988,30056
"40",1989,31086.6
"41",1990,31565.5
"42",1991,31581.8
"43",1992,31800.2
"44",1993,31398.4
"45",1994,31830.3
"46",1995,32303.2
"47",1996,32648.2
"48",1997,33415.5
"49",1998,34437.7
"50",1999,35662.2
"51",2000,36556.9
"52",1950,10652.6
"53",1951,11090.9
"54",1952,11297.3
"55",1953,11654.3
"56",1954,12289.5
"57",1955,12897.5
"58",1956,13386.4
"59",1957,14044.9
"60",1958,14252.2
"61",1959,14458.8
"62",1960,15649.3
"63",1961,16302.7
"64",1962,17343.1
"65",1963,18079.5
"66",1964,19105.9
"67",1965,19874.9
"68",1966,20758.4
"69",1967,21481.3
"70",1968,22118.8
"71",1969,23382
"72",1970,24465.5
"73",1971,25411.3
"74",1972,26185.7
"75",1973,27667.9
"76",1974,28488.1
"77",1975,27606.3
"78",1976,28381.9
"79",1977,28978.9
"80",1978,29554.9
"81",1979,30473.9
"82",1980,30633.6
"83",1981,30543.4
"84",1982,30734.4
"85",1983,30602.1
"86",1984,30705.2
"87",1985,31062.1
"88",1986,31600.8
"89",1987,32125.3
"90",1988,33276.9
"91",1989,34418.3
"92",1990,34951.1
"93",1991,34968.8
"94",1992,35210.1
"95",1993,34769.3
"96",1994,35248.9
"97",1995,35773.8
"98",1996,36155.4
"99",1997,37006.9
"100",1998,38138.7
"101",1999,39491.8
"102",2000,40481.4
"103",1950,11693.8
"104",1951,12182.5
"105",1952,12413.8
"106",1953,12799.7
"107",1954,13503.1
"108",1955,14175.9
"109",1956,14709.2
"110",1957,15436.1
"111",1958,15657.7
"112",1959,15896.5
"113",1960,17213.2
"114",1961,17928.3
"115",1962,19062.5
"116",1963,19883
"117",1964,21003.5
"118",1965,21861.9
"119",1966,22824.3
"120",1967,23616.8
"121",1968,24293.3
"122",1969,25665.5
"123",1970,26835.4
"124",1971,27875.1
"125",1972,28702.6
"126",1973,30359.9
"127",1974,31245.8
"128",1975,30197.1
"129",1976,31112.6
"130",1977,31713.9
"131",1978,32314.6
"132",1979,33239.8
"133",1980,33396.3
"134",1981,33302.2
"135",1982,33501.9
"136",1983,33380.6
"137",1984,33521.9
"138",1985,33897.7
"139",1986,34502.3
"140",1987,35084.3
"141",1988,36368.4
"142",1989,37618.9
"143",1990,38224.5
"144",1991,38240.7
"145",1992,38500.3
"146",1993,38055.1
"147",1994,38591.8
"148",1995,39177.7
"149",1996,39591.2
"150",1997,40540.2
"151",1998,41777.5
"152",1999,43232.6
"153",2000,44304.8
"154",1950,12779.2
"155",1951,13327.2
"156",1952,13587.8
"157",1953,14000.3
"158",1954,14781
"159",1955,15527.4
"160",1956,16104.4
"161",1957,16907.6
"162",1958,17139.9
"163",1959,17425.9
"164",1960,18874.8
"165",1961,19658.3
"166",1962,20889.7
"167",1963,21805.8
"168",1964,23022.8
"169",1965,23987.4
"170",1966,25025
"171",1967,25892.2
"172",1968,26590.4
"173",1969,28065.2
"174",1970,29280.4
"175",1971,30448.7
"176",1972,31310.8
"177",1973,33171
"178",1974,34109.2
"179",1975,32797.4
"180",1976,33918.4
"181",1977,34476.7
"182",1978,35079.9
"183",1979,35946.6
"184",1980,36123.5
"185",1981,36032.6
"186",1982,36237.8
"187",1983,36145.9
"188",1984,36310.4
"189",1985,36740.4
"190",1986,37425.5
"191",1987,38070
"192",1988,39474.9
"193",1989,40867.6
"194",1990,41535.8
"195",1991,41515.4
"196",1992,41811.2
"197",1993,41377.2
"198",1994,41984.1
"199",1995,42628.4
"200",1996,43065.2
"201",1997,44119.3
"202",1998,45467.9
"203",1999,47013.3
"204",2000,48162.3
"205",1950,14018.6
"206",1951,14636.8
"207",1952,14927.1
"208",1953,15371
"209",1954,16245.2
"210",1955,17081.4
"211",1956,17708.2
"212",1957,18604.4
"213",1958,18846.2
"214",1959,19200.5
"215",1960,20784.7
"216",1961,21661.4
"217",1962,23014.6
"218",1963,24037.8
"219",1964,25373
"220",1965,26465.6
"221",1966,27584
"222",1967,28542.6
"223",1968,29257.5
"224",1969,30848.9
"225",1970,32058.7
"226",1971,33409.9
