category,year,share,country
p0p50,1820,0.12,canada
p0p50,1821,,canada
p0p50,1822,,canada
p0p50,1823,,canada
p0p50,1824,,canada
p0p50,1825,,canada
p0p50,1826,,canada
p0p50,1827,,canada
p0p50,1828,,canada
p0p50,1829,,canada
p0p50,1830,,canada
p0p50,1831,,canada
p0p50,1832,,canada
p0p50,1833,,canada
p0p50,1834,,canada
p0p50,1835,,canada
p0p50,1836,,canada
p0p50,1837,,canada
p0p50,1838,,canada
p0p50,1839,,canada
p0p50,1840,,canada
p0p50,1841,,canada
p0p50,1842,,canada
p0p50,1843,,canada
p0p50,1844,,canada
p0p50,1845,,canada
p0p50,1846,,canada
p0p50,1847,,canada
p0p50,1848,,canada
p0p50,1849,,canada
p0p50,1850,0.1289,canada
p0p50,1851,,canada
p0p50,1852,,canada
p0p50,1853,,canada
p0p50,1854,,canada
p0p50,1855,,canada
p0p50,1856,,canada
p0p50,1857,,canada
p0p50,1858,,canada
p0p50,1859,,canada
p0p50,1860,,canada
p0p50,1861,,canada
p0p50,1862,,canada
p0p50,1863,,canada
p0p50,1864,,canada
p0p50,1865,,canada
p0p50,1866,,canada
p0p50,1867,,canada
p0p50,1868,,canada
p0p50,1869,,canada
p0p50,1870,,canada
p0p50,1871,,canada
p0p50,1872,,canada
p0p50,1873,,canada
p0p50,1874,,canada
p0p50,1875,,canada
p0p50,1876,,canada
p0p50,1877,,canada
p0p50,1878,,canada
p0p50,1879,,canada
p0p50,1880,0.1262,canada
p0p50,1881,,canada
p0p50,1882,,canada
p0p50,1883,,canada
p0p50,1884,,canada
p0p50,1885,,canada
p0p50,1886,,canada
p0p50,1887,,canada
p0p50,1888,,canada
p0p50,1889,,canada
p0p50,1890,,canada
p0p50,1891,,canada
p0p50,1892,,canada
p0p50,1893,,canada
p0p50,1894,,canada
p0p50,1895,,canada
p0p50,1896,,canada
p0p50,1897,,canada
p0p50,1898,,canada
p0p50,1899,,canada
p0p50,1900,0.1241,canada
p0p50,1901,,canada
p0p50,1902,,canada
p0p50,1903,,canada
p0p50,1904,,canada
p0p50,1905,,canada
p0p50,1906,,canada
p0p50,1907,,canada
p0p50,1908,,canada
p0p50,1909,,canada
p0p50,1910,0.12,canada
p0p50,1911,,canada
p0p50,1912,,canada
p0p50,1913,,canada
p0p50,1914,,canada
p0p50,1915,,canada
p0p50,1916,,canada
p0p50,1917,,canada
p0p50,1918,,canada
p0p50,1919,,canada
p0p50,1920,0.1985,canada
p0p50,1921,0.1634,canada
p0p50,1922,0.1911,canada
p0p50,1923,0.2081,canada
p0p50,1924,0.2061,canada
p0p50,1925,0.2094,canada
p0p50,1926,0.208,canada
p0p50,1927,0.2063,canada
p0p50,1928,0.2037,canada
p0p50,1929,0.2024,canada
p0p50,1930,0.1981,canada
