date,category,percent,trillions
1989:Q3,top_point_1,8.6,1756521
1989:Q3,remaining_top_1,14.2,2911578
1989:Q3,90_99,38,7767076
1989:Q3,50_90,35.7,7288771
1989:Q3,0_50,3.5,712318
1989:Q4,top_point_1,8.7,1811550
1989:Q4,remaining_top_1,14.3,2973282
1989:Q4,90_99,38,7899449
1989:Q4,50_90,35.7,7424933
1989:Q4,0_50,3.4,704946
1990:Q1,top_point_1,8.6,1796977
1990:Q1,remaining_top_1,14.2,2956588
1990:Q1,90_99,37.8,7883266
1990:Q1,50_90,36,7506182
1990:Q1,0_50,3.5,725852
1990:Q2,top_point_1,8.7,1841632
1990:Q2,remaining_top_1,14.2,3010677
1990:Q2,90_99,37.7,7979569
1990:Q2,50_90,36,7616763
1990:Q2,0_50,3.3,704947
1990:Q3,top_point_1,8.5,1785135
1990:Q3,remaining_top_1,14,2948793
1990:Q3,90_99,37.5,7886211
1990:Q3,50_90,36.5,7683337
1990:Q3,0_50,3.5,734596
1990:Q4,top_point_1,8.7,1872104
1990:Q4,remaining_top_1,14.1,3033504
1990:Q4,90_99,37.3,8019930
1990:Q4,50_90,36.3,7794002
1990:Q4,0_50,3.5,757007
1991:Q1,top_point_1,8.9,1957499
1991:Q1,remaining_top_1,14.3,3135025
1991:Q1,90_99,37.2,8170046
1991:Q1,50_90,36.1,7928852
1991:Q1,0_50,3.5,766009
1991:Q2,top_point_1,8.9,1953624
1991:Q2,remaining_top_1,14.3,3146716
1991:Q2,90_99,37.1,8164988
1991:Q2,50_90,36.3,8003495
1991:Q2,0_50,3.5,768752
1991:Q3,top_point_1,8.9,1982406
1991:Q3,remaining_top_1,14.3,3196998
1991:Q3,90_99,36.8,8224637
1991:Q3,50_90,36.4,8144711
1991:Q3,0_50,3.7,820893
1991:Q4,top_point_1,9.1,2091663
1991:Q4,remaining_top_1,14.5,3321586
1991:Q4,90_99,36.6,8407023
1991:Q4,50_90,36.1,8292910
1991:Q4,0_50,3.7,840591
1992:Q1,top_point_1,9,2077261
1992:Q1,remaining_top_1,14.5,3326291
1992:Q1,90_99,36.4,8371571
1992:Q1,50_90,36.3,8345234
1992:Q1,0_50,3.7,858477
1992:Q2,top_point_1,8.9,2067086
1992:Q2,remaining_top_1,14.3,3307514
1992:Q2,90_99,36.4,8420358
1992:Q2,50_90,36.5,8434168
1992:Q2,0_50,3.8,874264
1992:Q3,top_point_1,8.9,2095506
1992:Q3,remaining_top_1,14.2,3330790
1992:Q3,90_99,36.3,8531711
1992:Q3,50_90,36.6,8588541
1992:Q3,0_50,4,939173
1992:Q4,top_point_1,9.2,2223453
1992:Q4,remaining_top_1,14.4,3467708
1992:Q4,90_99,36.2,8719875
1992:Q4,50_90,36.2,8724002
1992:Q4,0_50,4,953495
1993:Q1,top_point_1,9.6,2332154
1993:Q1,remaining_top_1,14.6,3552167
1993:Q1,90_99,36.2,8842970
