Entity,Code,Year,Top 1% - Share (Pretax) (Estimated),Between 90th and 99th percentiles - Share (Pretax) (Estimated),Middle 40% - Share (Pretax) (Estimated),Bottom 50% - Share (Pretax) (Estimated)
Afghanistan,AFG,2008,16.220001,25.720001,40.9,17.17
Afghanistan,AFG,2012,13.82,24.94,42.25,19
Afghanistan,AFG,2017,15.080001,25.93,41.21,17.79
Afghanistan,AFG,2022,16.220001,25.720001,40.9,17.17
Africa (WID),,1980,21.88,36.69,34.01,7.4199996
Africa (WID),,1981,21.619999,36.449997,34.31,7.62
Africa (WID),,1982,21.539999,36.34,34.47,7.6499996
Africa (WID),,1983,21.58,36.449997,34.34,7.63
Africa (WID),,1984,21.63,36.489998,34.45,7.44
Africa (WID),,1985,21.61,36.5,34.53,7.36
Africa (WID),,1986,21.03,36.469997,35.02,7.48
Africa (WID),,1987,20.79,36.28,35.36,7.56
Africa (WID),,1988,20.66,36.41,35.43,7.4900002
Africa (WID),,1989,20.550001,36.52,35.510002,7.4199996
Africa (WID),,1990,20.27,36.59,35.75,7.3799996
Africa (WID),,1991,20.550001,36.78,35.460003,7.2200003
Africa (WID),,1992,20.21,36.97,35.78,7.05
Africa (WID),,1993,19.54,36.719997,36.489998,7.25
Africa (WID),,1994,19.35,36.77,36.71,7.1800003
Africa (WID),,1995,19.18,36.76,36.809998,7.25
Africa (WID),,1996,19.44,36.76,36.449997,7.35
Africa (WID),,1997,19.88,36.579998,36.149998,7.39
Africa (WID),,1998,20.039999,36.48,36.02,7.4600005
Africa (WID),,1999,20.67,36.399998,35.45,7.48
Africa (WID),,2000,20.800001,36.44,35.34,7.4100003
Africa (WID),,2001,20.900002,36.219997,35.45,7.43
Africa (WID),,2002,20.91,36.07,35.57,7.4600005
Africa (WID),,2003,20.92,36.19,35.49,7.4
Africa (WID),,2004,20.6,36.21,35.66,7.53
Africa (WID),,2005,20.84,36.149998,35.43,7.57
Africa (WID),,2006,20.98,35.89,35.5,7.63
Africa (WID),,2007,21.22,35.82,35.350002,7.62
Africa (WID),,2008,20.960001,35.49,35.8,7.74
Africa (WID),,2009,20.27,35.460003,36.37,7.8900003
Africa (WID),,2010,19.949999,35.56,36.5,7.99
Africa (WID),,2011,19.74,35.06,36.95,8.25
Africa (WID),,2012,20.33,35.34,36.23,8.110001
Africa (WID),,2013,20.09,35.190002,36.52,8.2
Africa (WID),,2014,19.99,34.96,36.67,8.38
Africa (WID),,2015,20.07,34.82,36.739998,8.38
Africa (WID),,2016,19.89,34.88,36.84,8.38
Africa (WID),,2017,19.92,34.87,36.75,8.47
Africa (WID),,2018,19.97,34.69,36.76,8.57
Africa (WID),,2019,19.72,34.75,36.91,8.63
Africa (WID),,2020,19.5,34.58,37.2,8.7300005
Africa (WID),,2021,19.779999,34.83,36.77,8.62
Africa (WID),,2022,17.98,34.96,38.18,8.87
Albania,ALB,1996,8.14,24.429998,48.629997,18.8
Albania,ALB,2002,8.63,25.009998,48.39,17.96
Albania,ALB,2005,8.04,23.66,49.48,18.81
Albania,ALB,2008,8.14,23.67,49.32,18.87
Albania,ALB,2012,8.5199995,23.64,49.039997,18.8
Albania,ALB,2015,8.81,24.01,49.05,18.119999
Albania,ALB,2016,8.98,24.94,48.98,17.1
Albania,ALB,2017,8.76,24.779999,49.1,17.36
Albania,ALB,2018,8.38,24.51,49.39,17.720001
Albania,ALB,2022,8.33,23.810001,49.46,18.4
Algeria,DZA,1988,19.37,31.720001,35.64,13.2699995
Algeria,DZA,1989,18.3,31.61,36.52,13.570001
Algeria,DZA,1990,17.23,31.5,37.41,13.860001
Algeria,DZA,1991,16.150002,31.400002,38.3,14.16
Algeria,DZA,1992,15.080001,31.279999,39.19,14.45
Algeria,DZA,1993,14,31.18,40.079998,14.749999
Algeria,DZA,1994,12.93,31.060001,40.97,15.04
Algeria,DZA,1995,11.85,30.96,41.850002,15.34
Algeria,DZA,1996,11.73,30.779999,41.920002,15.57
Algeria,DZA,1997,11.61,30.61,41.99,15.800001
Algeria,DZA,1998,11.49,30.44,42.06,16.02
Algeria,DZA,1999,11.37,30.26,42.12,16.25
Algeria,DZA,2000,11.25,30.090002,42.18,16.48
Algeria,DZA,2001,11.13,29.910002,42.239998,16.71
Algeria,DZA,2002,11,29.750002,42.32,16.94
Algeria,DZA,2003,10.88,29.570002,42.37,17.17
Algeria,DZA,2004,10.76,29.4,42.43,17.4
Algeria,DZA,2005,10.639999,29.22,42.51,17.630001
Algeria,DZA,2006,10.52,29.039999,42.57,17.86
Algeria,DZA,2007,10.400001,28.87,42.629997,18.09
Algeria,DZA,2008,10.28,28.69,42.699997,18.32
Algeria,DZA,2009,10.15,28.52,42.77,18.55
Algeria,DZA,2010,10.03,28.349998,42.84,18.79
Algeria,DZA,2011,9.91,28.169998,42.899998,19.02
Algeria,DZA,2022,9.91,28.169998,42.899998,19.02
Andorra,AND,1980,8.06,21.71,47.870003,22.36
Andorra,AND,1981,7.95,21.73,48.050003,22.27
Andorra,AND,1982,7.9000006,21.77,48.07,22.26
Andorra,AND,1983,8,21.73,47.84,22.43
Andorra,AND,1984,8.22,21.9,47.58,22.300001
Andorra,AND,1985,8.24,22.01,47.77,21.98
Andorra,AND,1986,8.2,21.87,47.74,22.19
Andorra,AND,1987,8.16,21.89,47.64,22.310001
