year,brackets,rate,notes
2018-2025,All taxable income,21%,"For tax years beginning after 2017, the Tax Cuts and Jobs Act (P.L. 115-97) replaced the graduated corporate tax structure with a flat 21% corporate tax rate."
1993-2017,"First $50,000",15%,"The Revenue Reconciliation Act of 1993  increased the maximum corporate tax rate to 35% for corporations with taxable income over $10 million. Corporations with taxable income over $15 million are subject to an additional tax of 3% of the excess over $15 million, or $100,000, whichever is smaller"
1993-2017,"$50,000-$75,000",25%,
1993-2017,"$75,000-$100,000",34%,
1993-2017,"$100,000-$335,000",39%,
1993-2017,"$335,000-$10,000,000",34%,
1993-2017,"$10,000,000-$15,000,000",35%,
1993-2017,"$15,000,000-$18,333,333",38%,
1993-2017,"Over $18,333,333",35%,
1988-1992,"First $50,000",15%,
1988-1992,"$50,000-$75,000",25%,
1988-1992,"$75,000-$100,000",34%,
1988-1992,"$100,000-$335,000",39%,
1988-1992,"Over $335,000",34%,
1987,"First $25,000",15%,The Tax Reform Act of 1986 (TRA86) established a new rate structure effective for Tax Year 1988 and made the rates for Transition Year 1987 an average of the pre-TRA rates for 1986 and the post-TRA rates for 1988.
1987,"$25,000-$50,000",16.50%,"A new “alternative minimum tax” (AMT) replaced the add-on minimum tax, effective in 1987.  It required a calculation of an alternative measure of taxable income that reduced or eliminated many tax preference items.  The tax was 20 percent of the excess of this “alternative minimum taxable income” (AMTI) over $40,000.  The $40,000 exemption was reduced by 25 percent of the excess of AMTI over $150,000.  AMT in excess of regular tax could be carried over as a credit against regular tax in future years.  In 1998, “small” corporations (generally, those with average gross receipts of less than $5 million) were exempted from the AMT."
1987,"$50,000-$75,000",27.50%,
1987,"$75,000-$100,000",37%,"The maximum tax rate on capital gains was capped at 34 percent for 1987, which was to be the rate on the highest corporate tax bracket in 1988 and after, according to TRA86.  The maximum capital gain rate was raised to 35 percent when the highest corporate rate bracket was increased in 1993."
1987,"$100,000-$335,000",42.50%,
1987,"$335,000-$1,000,000",40%,
1987,"$1,000,000-$1,405,000",42.50%,
1987,"Over $1,405,000",40%,
1984-1986,"First $25,000",15%,
1984-1986,"$25,000-$50,000",18%,
1984-1986,"$50,000-$75,000",30%,The maximum tax rate on long-term capital gains was 28 percent.
1984-1986,"$75,000-$100,000",40%,
1984-1986,"$100,000-$1,000,000",46%,
1984-1986,"$1,000,000-$1,405,000",51%,
1984-1986,"Over $1,405,000",46%,
1983,"First $25,000",15%,"Beginning in 1983, incorporated professional practices (“personal service corporations”) have been taxed on all taxable income at the corporate tax rate applicable to the highest income bracket."
1983,"$25,000-$50,000",18%,
1983,"$50,000-$75,000",30%,The maximum tax rate on long-term capital gains was 28 percent.
1983,"$75,000-$100,000",40%,
1983,"Over $100,000",46%,
1982,"First $25,000",16%,
1982,"$25,000-$50,000",19%,
1982,"$50,000-$75,000",30%,The maximum tax rate on long-term capital gains was 28 percent.
1982,"$75,000-$100,000",40%,
1982,"Over $100,000",46%,
1979-1981,"First $25,000",17%,
1979-1981,"$25,000-$50,000",20%,
1979-1981,"$50,000-$75,000",30%,The maximum tax rate on long-term capital gains was 28 percent.
1979-1981,"$75,000-$100,000",40%,
1979-1981,"Over $100,000",46%,
1975-1978,"First $25,000",20%,
1975-1978,"$25,000-$50,000",22%,
1975-1978,"Over $50,000",48%,The holding period for long-term capital gain treatment of assets was increased from 6 months to 9 months in 1977 and 12 months in 1978.  The rate remained at 30 percent.
1971-1974,"First $25,000",22%,
1971-1974,"Over $25,000",48%,The maximum tax rate on long-term capital gains was increased to 30 percent.
1970,"First $25,000",22.55%,Includes a 2.5 percent Vietnam War surcharge.
1970,"Over $25,000",49.20%,The maximum tax rate on long-term capital gains was increased to 28 percent.
1968-1969,"First $25,000",24.20%,"From 1969 through 1986, corporations were also subject to an “add-on minimum tax” on certain “tax preference” items (such as percentage depletion, accelerated depreciation) above a certain amount.  For Tax Years 1969 through 1976, the tax was 10 percent of tax preferences in excess of $30,000; after 1976, the tax was 15 percent of preferences in excess of the greater of $10,000 or regular income tax."
1968-1969,"Over $25,000",52.80%,Rates include the Vietnam War surcharge of 10 percent.
1965-1967,"First $25,000",22%,
1965-1967,"Over $25,000",48%,
1964,"First $25,000",22%,
1964,"Over $25,000",50%,
1952-1963,"First $25,000",30%,"From April 1, 1954, through Calendar Year 1969, the maximum tax rate on capital gains was 25 percent."
1952-1963,"Over $25,000",52%,
1951,"First $25,000",28.75%,"These rates reflect a tax increase (for the Korean War), effective March 31, 1951.  The maximum capital gain tax rate was also increased to 26 percent."
1951,"Over $25,000",50.75%,
1950,"First $25,000",23%,"An excess profits tax was also in effect from July 1950 through Calendar Year 1953.  The tax was 30 percent of an adjusted profits figure reduced by credits for the level of prewar profits.  It was not offset against income tax, but the sum of income and excess profits taxes was capped at a given percentage of income (from 62 percent to 70 percent)."
1950,"Over $25,000",42%,"Beginning with Tax Year 1942, gains on the sale of assets held for more than 6 months (long-term capital gains) could be treated separately from other taxable income and taxed at a maximum rate of 25 percent."
1946-1949,"Taxable income $50,000 or less:",,"These rates are the sum of the “normal tax” rates and the “surtax” rates, which actually applied to slightly different definitions of taxable income."
1946-1949,"First $5,000",21%,
1946-1949,"Next $15,000",23%,
1946-1949,"Next $5,000",25%,
1946-1949,"Next $25,000",53%,"Beginning with Tax Year 1942, gains on the sale of assets held for more than 6 months (long-term capital gains) could be treated separately from other taxable income and taxed at a maximum rate of 25 percent."
1946-1949,"Taxable income over $50,000",38%,
1942-1945,"Taxable income $50,000 or less:",,"These rates are the sum of the “normal tax” rates and the “surtax” rates, which actually applied to slightly different definitions of taxable income."
