Tax year,Personal exemptions [1],,,Tax rates for regular tax,,,,,,,,,,
,,,,Lowest bracket,,Highest bracket,,,,,,,,
,"Single
persons","Married
couples",Dependents,"Tax rate [2]
(percent)","Taxable
income
under [3]","Tax rate [2]
(percent)","Taxable
income
over [3]",,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,(1),(2),(3),(4),(5),(6),(7),,,,,,,
1913,"3,000","4,000", N/A,1.0,"20,000",7.0,"500,000",,,,,,,
1914,"3,000","4,000", N/A,1.0,"20,000",7.0,"500,000",,,,,,,
1915,"3,000","4,000", N/A,1.0,"20,000",7.0,"500,000",,,,,,,
1916,"3,000","4,000", N/A,2.0,"20,000",15.0,"2,000,000",,,,,,,
1917,"1,000","2,000",200,2.0,"2,000",67.0,"2,000,000",,,,,,,
1918,"1,000","2,000",200,6.0,"4,000",77.0,"1,000,000",,,,,,,
1919,"1,000","2,000",200,4.0,"4,000",73.0,"1,000,000",,,,,,,
1920,"1,000","2,000",200,4.0,"4,000",73.0,"1,000,000",,,,,,,
1921,"1,000","[4] 2,500",400,4.0,"4,000",73.0,"1,000,000",,,,,,,
1922,"1,000","[4] 2,500",400,4.0,"4,000",58.0,"200,000",,,,,,,
1923,"1,000","[4] 2,500",400,[5] 3.0,"4,000",[5] 43.5,"200,000",,,,,,,
1924,"1,000","2,500",400,[6] 1.5,"4,000",46.0,"500,000",,,,,,,
1925,"1,500","3,500",400,[7] 1.125,"4,000",25.0,"100,000",,,,,,,
1926,"1,500","3,500",400,[7] 1.125,"4,000",25.0,"100,000",,,,,,,
1927,"1,500","3,500",400,[7] 1.125,"4,000",25.0,"100,000",,,,,,,
1928,"1,500","3,500",400,[8] 1.125,"4,000",25.0,"100,000",,,,,,,
1929,"1,500","3,500",400,[8] 0.375,"4,000",24.0,"100,000",,,,,,,
1930,"1,500","3,500",400,[8] 1.125,"4,000",25.0,"100,000",,,,,,,
1931,"1,500","3,500",400,[8] 1.125,"4,000",25.0,"100,000",,,,,,,
1932,"1,000","2,500",400,4.0,"4,000",63.0,"1,000,000",,,,,,,
1933,"1,000","2,500",400,4.0,"4,000",63.0,"1,000,000",,,,,,,
1934,"1,000","2,500",400,[9] 4.0,"4,000",63.0,"1,000,000",,,,,,,
1935,"1,000","2,500",400,[9] 4.0,"4,000",63.0,"1,000,000",,,,,,,
