year,rate,income
1862,0.03,600.00
1862,0.05,10000.00
1863,0.03,600.00
1863,0.05,10000.00
1864,0.05,600.00
1864,0.08,5000.00
1864,0.1,10000.00
1865,0.05,600.00
1865,0.08,5000.00
1865,0.1,10000.00
1866,0.05,600.00
1866,0.08,5000.00
1866,0.1,10000.00
1867,0.05,1000.00
1868,0.05,1000.00
1869,0.05,1000.00
1870,0.03,2000.00
1871,0.03,2000.00
1872,0.03,2000.00
1873,,
1874,,
1875,,
1876,,
1877,,
1878,,
1879,,
1880,,
1881,,
1882,,
1883,,
1884,,
1885,,
1886,,
1887,,
1888,,
1889,,
1890,,
1891,,
1892,,
1893,,
1894,0.02,4000.00
1895,,
1896,,
1897,,
1898,,
1899,,
1900,,
1901,,
1902,,
1903,,
1904,,
1905,,
1906,,
1907,,
1908,,
1909,,
1910,,
1911,,
1912,,
1913,0.01,
1913,0.02,20000.00
1913,0.03,50000.00
1913,0.04,75000.00
1913,0.05,100000.00
1913,0.06,250000.00
1913,0.07,500000.00
1914,0.01,
1914,0.02,20000.00
1914,0.03,50000.00
1914,0.04,75000.00
1914,0.05,100000.00
1914,0.06,250000.00
1914,0.07,500000.00
1915,0.01,
1915,0.02,20000.00
1915,0.03,50000.00
1915,0.04,75000.00
1915,0.05,100000.00
1915,0.06,250000.00
1915,0.07,500000.00
1916,0.02,
1916,0.03,20000.00
1916,0.04,40000.00
1916,0.05,60000.00
1916,0.06,80000.00
1916,0.07,100000.00
1916,0.08,150000.00
1916,0.09,200000.00
1916,0.1,250000.00
1916,0.11,300000.00
1916,0.12,500000.00
1916,0.13,1000000.00
1916,0.14,1500000.00
1916,0.15,2000000.00
1917,0.02,
1917,0.04,2000.00
1917,0.05,5000.00
1917,0.06,7500.00
1917,0.07,10000.00
1917,0.08,12500.00
1917,0.09,15000.00
1917,0.12,20000.00
1917,0.16,40000.00
1917,0.21,60000.00
1917,0.26,80000.00
1917,0.31,100000.00
1917,0.35,150000.00
1917,0.41,200000.00
1917,0.46,250000.00
1917,0.5,300000.00
1917,0.54,500000.00
1917,0.59,750000.00
1917,0.65,1000000.00
1917,0.66,1500000.00
1917,0.67,2000000.00
1918,0.06,
1918,0.12,4000.00
1918,0.13,5000.00
1918,0.14,6000.00
1918,0.15,8000.00
1918,0.16,10000.00
1918,0.17,12000.00
1918,0.18,14000.00
1918,0.19,16000.00
1918,0.2,18000.00
1918,0.21,20000.00
1918,0.22,22000.00
1918,0.23,24000.00
1918,0.24,26000.00
1918,0.25,28000.00
1918,0.26,30000.00
1918,0.27,32000.00
1918,0.28,34000.00
1918,0.29,36000.00
1918,0.3,38000.00
1918,0.31,40000.00
1918,0.32,42000.00
1918,0.33,44000.00
1918,0.34,46000.00
1918,0.35,48000.00
1918,0.36,50000.00
1918,0.37,52000.00
1918,0.38,54000.00
1918,0.39,56000.00
1918,0.4,58000.00
1918,0.41,60000.00
1918,0.42,62000.00
1918,0.43,64000.00
1918,0.44,66000.00
1918,0.45,68000.00
1918,0.46,70000.00
1918,0.47,72000.00
1918,0.48,74000.00
1918,0.49,76000.00
1918,0.5,78000.00
1918,0.51,80000.00
1918,0.52,82000.00
1918,0.53,84000.00
1918,0.54,86000.00
1918,0.55,88000.00
1918,0.56,90000.00
1918,0.57,92000.00
1918,0.58,94000.00
1918,0.59,96000.00
1918,0.6,98000.00
1918,0.64,100000.00
1918,0.68,150000.00
1918,0.72,200000.00
1918,0.75,300000.00
1918,0.76,500000.00
1918,0.77,1000000.00
1919,0.04,
1919,0.08,4000.00
1919,0.09,5000.00
1919,0.1,6000.00
1919,0.11,8000.00
1919,0.12,10000.00
1919,0.13,12000.00
1919,0.14,14000.00
1919,0.15,16000.00
1919,0.16,18000.00
1919,0.17,20000.00
1919,0.18,22000.00
1919,0.19,24000.00
1919,0.2,26000.00
1919,0.21,28000.00
1919,0.22,30000.00
1919,0.23,32000.00
1919,0.24,34000.00
1919,0.25,36000.00
1919,0.26,38000.00
1919,0.27,40000.00
1919,0.28,42000.00
1919,0.29,44000.00
1919,0.3,46000.00
1919,0.31,48000.00
1919,0.32,50000.00
1919,0.33,52000.00
1919,0.34,54000.00
1919,0.35,56000.00
1919,0.36,58000.00
1919,0.37,60000.00
1919,0.38,62000.00
1919,0.39,64000.00
1919,0.4,66000.00
1919,0.41,68000.00
