Time period,Australia,Austria,Belgium,Canada,France,Germany,Japan,Netherlands,Sweden,Switzerland,United Kingdom,United States,Comparable Country Average
1980,,72.7,73.3,75.07,74.3,73.1,76.1,75.9,75.8,75.7,73.6,73.7,74.56
1981,74.8,73,73.7,75.49,74.5,73.4,76.5,76,76.1,75.9,73.9,74.1,74.84
1982,74.6,73.2,74,75.72,74.8,73.7,76.9,76.1,76.4,76.3,74,74.5,75.07
1983,75.4,73.3,73.9,76.07,74.8,74,77,76.3,76.7,76.2,74.3,74.6,75.27
1984,75.7,73.9,74.5,76.36,75.3,74.5,77.4,76.4,76.9,76.9,74.6,74.7,75.68
1985,75.5,74.1,74.6,76.35,75.4,74.6,77.6,76.5,76.8,77,74.5,74.7,75.72
1986,76,74.5,74.8,76.5,75.7,74.8,78.1,76.4,77,77.2,74.8,74.7,75.98
1987,76.2,75,75.4,76.82,76.3,75.2,78.5,76.9,77.2,77.5,75.1,74.9,76.37
1988,76.2,75.5,75.7,76.9,76.6,75.4,78.4,77.1,77.1,77.5,75.2,74.9,76.51
1989,76.4,75.6,75.7,77.18,76.7,75.6,78.8,76.9,77.8,77.7,75.4,75.1,76.71
1990,76.9,75.8,76.2,77.5,77,75.4,78.9,77.1,77.7,77.5,75.7,75.4,76.88
1991,77.3,75.9,76.3,77.67,77.2,75.7,79.1,77.2,77.8,77.8,75.9,75.5,77.08
1992,77.4,76.1,76.5,77.91,77.5,76.2,79.2,77.4,78.2,78.1,76.2,75.8,77.34
1993,77.9,76.3,76.5,77.78,77.5,76.2,79.4,77.1,78.2,78.4,76.1,75.5,77.4
1994,77.9,76.7,76.8,77.95,78,76.6,79.8,77.6,78.9,78.7,76.7,75.7,77.79
1995,77.8,76.9,77,78.06,78.1,76.7,79.6,77.6,79,78.7,76.6,75.8,77.82
1996,78.1,77.1,77.3,78.31,78.2,77,80.3,77.6,79.2,79.2,76.8,76.1,78.1
1997,78.4,77.5,77.5,78.5,78.6,77.4,80.5,78,79.4,79.4,77,76.5,78.38
1998,78.6,77.9,77.6,78.72,78.7,77.8,80.6,78.1,79.5,79.6,77.2,76.7,78.57
1999,78.9,78.1,77.7,78.94,78.9,78,80.5,78,79.6,79.9,77.4,76.7,78.72
2000,79.2,78.3,77.9,79.27,79.2,78.3,81.2,78.2,79.8,80,77.8,76.8,79.02
2001,79.6,78.8,78.1,79.51,79.3,78.6,81.5,78.4,79.9,80.5,78,77,79.29
2002,79.9,78.9,78.2,79.64,79.4,78.6,81.8,78.5,80,80.6,78.2,77,79.43
2003,80.2,78.8,78.3,79.82,79.3,78.6,81.8,78.7,80.3,80.7,78.3,77.2,79.53
2004,80.5,79.3,79,80.1,80.3,79.3,82.1,79.3,80.7,81.3,78.8,77.6,80.06
2005,80.8,79.5,79.1,80.22,80.3,79.4,82,79.6,80.7,81.5,79,77.6,80.19
2006,81,80.1,79.5,80.65,80.9,79.9,82.4,80,81,81.8,79.3,77.8,80.6
2007,81.3,80.3,79.9,80.65,81.3,80.1,82.6,80.4,81.1,82,79.5,78.1,80.83
2008,81.4,80.6,79.8,80.83,81.4,80.2,82.7,80.5,81.3,82.3,79.6,78.2,80.97
2009,81.5,80.5,80.2,81.18,81.5,80.3,83,80.9,81.5,82.3,80.1,78.5,81.18
2010,81.7,80.7,80.3,81.43,81.8,80.5,82.9,81,81.6,82.7,80.4,78.7,81.37
2011,81.9,81.1,80.7,81.58,82.3,80.6,82.7,81.3,81.9,82.8,80.7,78.7,81.6
2012,82,81.1,80.5,81.76,82.1,80.7,83.2,81.2,81.8,82.8,80.8,78.8,81.63
2013,82.1,81.3,80.7,81.84,82.4,80.6,83.4,81.4,82,82.9,80.9,78.8,81.78
2014,82.3,81.6,81.4,81.87,82.9,81.2,83.7,81.8,82.3,83.3,81.1,78.9,82.13
2015,82.4,81.3,81.1,81.9,82.4,80.7,83.9,81.6,82.2,83,80.9,78.7,81.95
2016,82.4,81.8,81.5,82.01,82.7,81,84.1,81.7,82.4,83.7,81,78.7,82.21
2017,82.5,81.7,81.6,81.9,82.7,81.1,84.2,81.8,82.5,83.7,81.1,78.6,82.25
2018,82.7,81.8,81.7,81.91,82.8,81,84.3,81.9,82.6,83.8,81.1,78.7,82.33
2019,82.9,82,82.1,82.29,83,81.3,84.4,82.2,83.2,84,81.4,78.8,82.62
2020,83.2,81.3,80.8,81.71,82.3,81.1,84.6,81.4,82.4,83.1,80.4,77,82.03
2021,83.3,81.3,81.9,81.63,82.4,80.8,84.5,81.4,83.1,83.9,80.49,76.4,82.25
2022,83.2,81.4,81.8,81.34,82.3,80.7,84.1,81.7,83.1,83.7,80.925,77.5,82.21
