country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,43.01580561,38.02427981,35.19014992,50.59220083,62.27657853,69.21608061,75.81419451,84.97996523,87.36213208,90.95042684,105.1918664,113.406271,110.3059142,108.3506692,101.8881581,93.8898327,88.83530828,93.10645755,93.22229237,90.33428075,81.96919307,93.05362662,,
Afghanistan,,,17.00758553,17.81492424,21.42946434,25.10707283,28.91982269,32.71720505,39.96989822,43.26076889,46.57987976,52.36304855,52.61354065,56.30554199,60.18957901,60.05854034,61.48645782,66.90921783,71.33430481,74.23410797,80.28805542,81.31976318,,
Africa Western and Central,19.98984034,20.65348638,21.82768195,33.60952346,38.0807769,43.56471385,50.11401505,54.10630762,62.35156696,56.86496593,60.44780013,67.39950893,69.91482636,77.40893682,80.32908871,71.93804756,62.7158163,60.83518938,59.56103611,61.99758835,64.79825452,73.12022469,,
Angola,13.00008678,28.92523384,29.05480003,34.8696785,49.77629852,54.21235657,69.76922607,92.84111786,135.6315308,120.0315094,96.66415405,121.9136887,121.7957535,142.8861694,130.7423401,107.6435623,94.1061554,112.851471,83.89920044,64.65779114,55.05102158,64.16342163,,
Albania,65.1501236,73.78884125,78.99478149,106.2921829,138.1134033,152.1276245,166.8138275,212.6109619,240.4162598,239.4438629,255.3181915,274.776886,262.2885437,278.042511,295.1235962,255.3563538,277.0432129,297.4619751,351.3012085,367.7583923,396.880249,464.7428589,,
Andorra,1287.002808,1336.211426,1486.171875,1772.713379,1990.074829,2214.646973,2139.275391,2489.431152,3046.362061,3025.308838,3698.80835,3913.987061,3013.514648,3041.841553,3089.843018,2688.206299,2755.448486,2873.296143,3164.388428,3026.597412,3269.297363,3505.991455,,
Arab World,105.2954133,108.8287633,108.8415225,105.9309073,116.8394253,129.8118837,147.8974565,172.929695,202.7928906,215.7488538,222.6584521,253.201342,276.4931209,311.2854099,338.1797992,325.1520126,350.6724493,341.0598375,352.1770557,357.3522758,366.1753559,384.7048422,,
United Arab Emirates,753.0755005,743.0507202,821.3450928,862.9032593,911.3927612,978.9043579,1054.332886,1126.812378,1321.93689,1284.763184,1325.203247,1500.80249,1480.727417,1601.552856,1656.268921,1439.300537,1599.402954,1726.240723,1914.931763,1990.28479,2191.813477,2351.80542,,
Argentina,704.9459229,671.3685303,222.6475067,260.9826355,310.2199402,390.8044739,453.6393433,569.2883911,742.9046631,781.7780151,980.1362915,1202.563965,1361.991577,1415.210083,1280.614868,1525.053101,1258.307983,1494.83606,1216.106812,1016.230835,895.0846558,1044.772705,,
