RACE,"Race and Hispanic origin of householder
and year1",Number (thousands),Total,"Under $15,000","$15,000 
to
 $24,999","$25,000 
to
 $34,999","$35,000 
to
 $49,999","$50,000 
to
 $74,999","$75,000 
to
 $99,999","$100,000 
to
 $149,999","$150,000 
to
 $199,999","$200,000 and over",Median Income,Median Margin of error2 (±),Mean Income,Mean Margin of error2 (±)
ALL RACES,2023,"132,200",100,7.4,6.7,6.9,10.3,15.7,12.1,17.0,9.5,14.4,"80,610",634,"114,500","1,098"
ALL RACES,2022,"131,400",100,8.1,7.2,7.4,10.4,15.9,12.2,16.7,9.3,12.9,"77,540","1,006","110,600","1,075"
ALL RACES,2021,"131,200",100,8.1,7.4,7.2,9.9,15.3,11.9,16.4,9.3,14.4,"79,260",678,"114,600","1,153"
ALL RACES,2020 3,"129,200",100,7.6,7.4,6.8,10.6,15.2,12.3,16.5,9.3,14.2,"79,560","1,030","114,000","1,227"
ALL RACES,2019,"128,500",100,7.3,7.0,6.7,10.6,15.5,11.9,17.1,9.4,14.6,"81,210","1,069","115,900","1,232"
ALL RACES,2018,"128,600",100,8.3,7.5,7.2,10.9,15.8,12.5,16.6,9.0,12.3,"75,790",829,"108,000","1,077"
ALL RACES,2017 4,"127,700",100,8.4,7.8,7.5,11.3,15.5,12.1,16.3,8.7,12.5,"74,810",647,"107,300","1,148"
ALL RACES,2017,"127,600",100,8.4,7.8,7.6,11.3,15.2,12.2,16.4,9.0,12.1,"75,100",674,"105,500","1,047"
ALL RACES,2016,"126,200",100,8.6,7.8,7.8,11.4,15.8,12.3,16.3,8.6,11.5,"73,520",893,"103,500",961
ALL RACES,2015,"125,800",100,8.4,8.3,8.6,11.3,15.4,12.3,16.3,8.9,10.5,"71,000",663,"99,580",833
ALL RACES,2014,"124,600",100,9.3,8.7,8.8,11.5,15.9,12.4,15.4,8.3,9.8,"67,360",810,"95,080",921
ALL RACES,2013 5,"123,900",100,9.2,8.9,8.7,11.1,15.8,12.7,15.6,8.0,9.8,"68,220","1,370","95,740","1,391"
ALL RACES,2013 6,"123,000",100,9.1,9.3,8.5,11.8,16.4,12.8,15.5,7.9,8.7,"66,130",578,"92,490","1,045"
ALL RACES,2012,"122,500",100,9.1,9.2,9.1,11.9,16.3,12.6,15.6,7.8,8.4,"65,740",443,"91,850",892
ALL RACES,2011,"121,100",100,9.3,8.9,9.1,12.4,16.4,12.6,15.2,7.8,8.4,"65,750",542,"91,520",795
ALL RACES,2010 7,"119,900",100,9.3,9.0,8.8,11.7,16.6,12.3,15.9,7.8,8.6,"66,730",724,"91,270",802
ALL RACES,2009 8,"117,500",100,8.5,8.6,9.0,11.9,16.4,12.8,16.2,7.8,8.8,"68,340",481,"93,320",549
ALL RACES,2008,"117,200",100,8.4,8.7,8.8,11.8,16.2,12.7,16.6,8.0,8.8,"68,780",308,"93,560",544
ALL RACES,2007,"116,800",100,8.0,8.6,8.0,11.8,16.3,12.8,16.9,8.4,9.1,"71,210",326,"95,840",550
ALL RACES,2006,"116,000",100,8.1,8.3,8.2,11.8,17.1,12.4,16.7,8.2,9.2,"70,080",495,"96,780",615
ALL RACES,2005,"114,400",100,8.5,8.5,8.2,11.8,17.0,12.7,16.5,8.1,8.8,"69,310",381,"94,770",588
ALL RACES,2004 9,"113,300",100,8.4,8.9,8.3,12.2,16.2,13.0,16.5,8.1,8.4,"68,250",496,"93,080",577
ALL RACES,2003,"112,000",100,8.4,8.9,8.4,11.7,16.4,12.9,16.5,8.3,8.4,"68,350",488,"93,200",561
ALL RACES,2002,"111,300",100,8.3,8.8,8.1,12.1,16.5,12.9,16.9,8.2,8.1,"68,310",368,"93,190",575
ALL RACES,2001,"109,300",100,8.0,8.7,8.2,11.9,16.8,13.2,16.8,8.1,8.4,"68,870",346,"94,930",622
ALL RACES,2000 10,"108,200",100,7.7,8.3,8.2,11.5,17.2,13.1,17.5,8.0,8.6,"70,020",362,"95,280",617
ALL RACES,1999 11,"106,400",100,7.6,8.4,8.6,11.5,17.1,13.0,17.4,8.1,8.3,"70,210",539,"94,430",806
ALL RACES,1998,"103,900",100,8.4,8.6,8.1,12.0,17.2,13.4,17.0,7.7,7.5,"68,470",666,"91,310",811
ALL RACES,1997,"102,500",100,8.7,9.0,8.6,12.2,17.3,13.5,16.5,7.3,6.9,"66,050",502,"88,690",816
ALL RACES,1996,"101,000",100,8.9,9.4,8.9,12.5,17.3,13.4,16.7,6.7,6.3,"64,710",537,"85,910",792
ALL RACES,1995 12,"99,630",100,9.0,9.4,9.0,12.4,18.1,13.5,16.1,6.7,5.8,"63,770",606,"84,090",757
ALL RACES,1994 13,"98,990",100,9.5,9.9,9.2,12.8,17.5,13.4,15.7,6.3,5.8,"61,800",463,"82,620",731
ALL RACES,1993 14,"97,110",100,10.0,9.8,8.9,13.0,17.9,13.2,15.5,6.3,5.4,"61,150",470,"81,090",721
ALL RACES,1992 15,"96,430",100,9.9,9.8,9.1,12.3,18.3,13.6,16.0,6.1,4.9,"61,450",478,"77,910",538
ALL RACES,1991,"95,670",100,9.7,9.4,8.9,12.7,18.4,14.0,15.7,6.3,4.9,"61,960",491,"78,000",528
ALL RACES,1990,"94,310",100,9.4,9.0,8.7,12.6,18.8,14.1,16.1,6.3,5.1,"63,830",536,"79,730",554
ALL RACES,1989,"93,350",100,9.0,9.1,8.8,12.3,18.2,14.2,16.5,6.6,5.4,"64,610",585,"81,630",585
ALL RACES,1988,"92,830",100,9.7,9.0,8.5,12.7,18.3,14.2,16.4,6.2,5.0,"63,530",510,"79,370",583
ALL RACES,1987 16,"91,120",100,9.8,9.2,8.8,12.6,18.0,14.5,16.3,6.2,4.7,"63,060",490,"78,420",529
ALL RACES,1986,"89,480",100,10.0,9.1,8.9,12.5,18.3,14.7,16.2,5.8,4.5,"62,280",531,"76,940",514
ALL RACES,1985 17,"88,460",100,10.0,9.8,9.2,13.0,19.0,14.4,15.4,5.4,3.8,"60,050",535,"73,900",481
ALL RACES,1984 18,"86,790",100,10.0,10.0,9.5,13.4,19.2,14.0,15.2,5.2,3.6,"58,930",441,"72,200",437
ALL RACES,1983,"85,410",100,10.6,10.0,9.8,13.6,19.5,14.2,14.4,4.8,3.2,"57,210",428,"69,580",428
ALL RACES,1982,"83,920",100,10.6,10.2,9.8,13.4,20.1,14.1,14.3,4.4,3.1,"57,570",427,"69,380",423
ALL RACES,1981,"83,530",100,10.3,10.3,9.8,13.6,19.2,15.1,14.4,4.7,2.6,"57,730",498,"68,970",413
ALL RACES,1980,"82,370",100,10.2,10.1,9.5,13.3,19.6,15.1,14.8,4.6,2.7,"58,720",496,"69,840",420
ALL RACES,1979 19,"80,780",100,9.8,9.5,9.1,13.4,19.5,15.5,15.3,4.8,3.1,"60,610",472,"71,990",448
ALL RACES,1978,"77,330",100,9.5,10.1,9.2,13.2,19.5,15.6,15.6,4.4,3.0,"60,720",404,"71,470",451
ALL RACES,1977,"76,030",100,9.8,10.4,9.6,13.1,20.2,15.4,14.7,4.2,2.6,"58,450",361,"69,330",347
ALL RACES,1976 20,"74,140",100,10.1,10.1,9.5,13.5,20.4,15.8,14.4,3.9,2.4,"58,160",354,"68,420",347
ALL RACES,1975 21,"72,870",100,10.2,10.6,9.6,13.9,20.6,15.6,13.7,3.5,2.2,"57,180",383,"66,780",343
ALL RACES,"1974 21, 22","71,160",100,9.7,9.9,9.3,13.3,21.5,15.6,14.3,4.0,2.4,"58,780",371,"68,740",354
ALL RACES,1973,"69,860",100,9.9,9.9,8.8,12.5,21.1,15.8,15.1,4.2,2.7,"60,610",379,"70,100",351
ALL RACES,1972 23,"68,250",100,10.6,9.6,8.9,13.2,21.4,15.8,14.0,4.0,2.5,"59,330",372,"69,060",352
ALL RACES,1971 24,"66,680",100,11.4,9.3,9.5,13.6,22.3,15.9,12.7,3.4,1.9,"57,090",364,"65,660",343
ALL RACES,1970,"64,780",100,11.6,9.0,9.0,13.4,23.1,15.8,12.8,3.4,2.0,"57,580",347,"65,940",347
ALL RACES,1969,"63,400",100,11.5,8.8,8.8,13.5,23.3,16.0,13.0,3.2,1.9,"58,010",353,"65,990",341
ALL RACES,1968,"62,210",100,11.8,9.1,8.8,14.3,24.8,15.3,11.6,2.7,1.6,"55,810",332,"63,140",332
ALL RACES,1967 25,"60,810",100,13.0,9.4,8.9,15.6,24.6,14.3,10.1,2.6,1.7,"53,530",320,"59,860",320
WHITE ALONE,2023,"101,900",100,6.3,6.2,6.8,10.0,15.6,12.3,17.8,10.1,14.9,"84,630","1,182","118,000","1,356"
WHITE ALONE,2022,"101,400",100,7.1,6.9,7.2,10.2,15.8,12.5,17.4,9.7,13.3,"80,320",905,"113,600","1,263"
WHITE ALONE,2021,"102,100",100,7.0,6.9,6.9,9.8,15.3,12.1,17.1,9.8,15.0,"83,160","1,021","118,500","1,325"
WHITE ALONE,2020 3,"100,900",100,6.4,7.0,6.6,10.5,15.1,12.5,17.2,9.9,14.8,"83,800",862,"117,600","1,397"
WHITE ALONE,2019,"100,600",100,6.2,6.5,6.2,10.3,15.6,12.2,17.8,9.9,15.4,"85,350",945,"120,300","1,410"
WHITE ALONE,2018,"100,500",100,6.9,7.0,6.9,10.6,15.9,12.9,17.5,9.4,13.0,"80,300",775,"112,700","1,239"
WHITE ALONE,2017 4,"100,100",100,7.0,7.2,7.3,10.9,15.6,12.4,17.1,9.2,13.3,"79,340","1,031","112,000","1,292"
WHITE ALONE,2017,"100,100",100,7.0,7.3,7.5,11.0,15.1,12.5,17.2,9.6,12.9,"79,880",837,"109,700","1,212"
